lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.1.tag_list,image.2.url,image.2.description,image.2.is_primary,image.2.tag_list,image.3.url,image.3.description,image.3.is_primary,image.3.tag_list,image.4.url,image.4.description,image.4.is_primary,image.4.tag_list,image.5.url,image.5.description,image.5.is_primary,image.5.tag_list,image.6.url,image.6.description,image.6.is_primary,image.6.tag_list,attribute.saya_tariff_code.string,variation_children_code
JUNEBERRY FLIRT,4 Level Product Style,JUNEBERRY FLIRT,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  ","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>JUNEBERRY FLIRT</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,JUNEBERRY FLIRT,"Reversible
Costuras invisibles
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla Colombiana: S,,Colombia,SPRING 2018,COLOMBIA,92% POLIAMIDA 8% ELASTANO,ROJO,SWIMWEAR,<h4>JUNEBERRY FLIRT</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1528406375/Spring2018/3039SBC02_3039SDC02_purple_1.jpg,3039SBC02_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528406376/Spring2018/3039SBC02_3039SDC02_purple_2.jpg,3039SBC02_purple_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528406377/Spring2018/3039SBC02_3039SDC02_purple_5.jpg,3039SBC02_purple_5,,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528406378/Spring2018/3039SBC02_3039SDC02_purple_6.jpg,3039SBC02_purple_6,no,hi-res,,,,,,,,,61.12.41.00.00,3039SBC02|3039SDC02
ROSE VELVET,4 Level Product Style,ROSE VELVET,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  ","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>ROSE VELVET</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,ROSE VELVET,"Reversible
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla Colombiana: S,,Colombia,SPRING 2018,COLOMBIA,92% POLIAMIDA 8% ELASTANO,ROJO,SWIMWEAR,<h4>ROSE VELVET</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1528336602/Spring2018/1930SBC01_1930SCC01_purple_1.jpg,1930SBC01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528336603/Spring2018/1930SBC01_1930SCC01_purple_2.jpg,1930SBC01_purple_2,no,hi-res,,,,,,,,,,,,,,,,,61.12.41.00.00,1930SBC01|1930SCC01
CUMBIA SOCIETY,4 Level Product Style,CUMBIA SOCIETY,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  ","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>CUMBIA SOCIETY</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Low Rise <br/>Moderate coverage<br/>Made in Colombia</p>,CUMBIA SOCIETY,"Reversible
Low Rise 
Moderate coverage 
Made in Colombia",,,,Nuestra modelo usa talla Colombiana: S,,Colombia,SPRING 2018,COLOMBIA,92% POLIAMIDA 8% ELASTANO,ROJO,SWIMWEAR,<h4>CUMBIA SOCIETY</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1528390466/Spring2018/2110SBC01_2110SDC01_purple_1.jpg,2110SBC01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528390467/Spring2018/2110SBC01_2110SDC01_purple_2.jpg,2110SBC01_purple_2,no,hi-res,,,,,,,,,,,,,,,,,61.12.41.00.00,2110SBC01|2110SDC01
CINNAMON ATTILA,4 Level Product Style,CINNAMON ATTILA,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  ","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>CINNAMON ATTILA</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Ajustable en costados<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,CINNAMON ATTILA,"Reversible
Ajustable en costados
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla Colombiana: S,,Colombia,SPRING 2018,COLOMBIA,92% POLIAMIDA 8% ELASTANO,ROJO,SWIMWEAR,<h4>CINNAMON ATTILA</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1528395826/Spring2018/2114SBC01_2114SCC01_purple_1.jpg,2114SBC01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528395827/Spring2018/2114SBC01_2114SCC01_purple_2.jpg,2114SBC01_purple_2,no,hi-res,,,,,,,,,,,,,,,,,61.12.41.00.00,2114SBC01|2114SCC01
CINNAMON SUNNY,4 Level Product Style,CINNAMON SUNNY,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  ","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>CINNAMON SUNNY</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Amarre en costados<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,CINNAMON SUNNY,"Reversible
Amarre en costados
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla Colombiana: S,,Colombia,SPRING 2018,COLOMBIA,92% POLIAMIDA 8% ELASTANO,ROJO,SWIMWEAR,<h4>CINNAMON SUNNY</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1528406563/Spring2018/3044SBC01_3044SCC01_red_1.jpg,3044SBC01_red_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528406564/Spring2018/3044SBC01_3044SCC01_red_2.jpg,3044SBC01_red_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528406565/Spring2018/3044SBC01_3044SCC01_red_5.jpg,3044SBC01_red_5,,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528406566/Spring2018/3044SBC01_3044SCC01_red_6.jpg,3044SBC01_red_6,no,hi-res,,,,,,,,,61.12.41.00.00,3044SBC01|3044SCC01
ARUSI MERLOT,4 Level Product Style,ARUSI MERLOT,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  ","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>ARUSI MERLOT</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Tiro bajo<br/>Mayor cubrimiento<br/>Hecho en Colombia</p>,ARUSI MERLOT,"Reversible
Tiro bajo
Mayor cubrimiento
Hecho en Colombia",,,,Nuestra modelo usa talla Colombiana: S,,Colombia,SPRING 2018,COLOMBIA,92% POLIAMIDA 8% ELASTANO,ROJO,SWIMWEAR,<h4>ARUSI MERLOT</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1528398416/Spring2018/2120SAC01_2120SBC01_purple_1.jpg,2120SAC01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528398417/Spring2018/2120SAC01_2120SBC01_purple_2.jpg,2120SAC01_purple_2,no,hi-res,,,,,,,,,,,,,,,,,61.12.41.00.00,2120SAC01|2120SBC01
BRISTLE GARDENS,4 Level Product Style,BRISTLE GARDENS,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  ","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>BRISTLE GARDENS</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Amarre en costados<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,BRISTLE GARDENS,"Reversible
Amarre en costados
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla Colombiana: S,,Colombia,SPRING 2018,COLOMBIA,92% POLIAMIDA 8% ELASTANO,ROJO,SWIMWEAR,<h4>BRISTLE GARDENS</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1528396788/Spring2018/2116SBC01_2116SDC01_purple_1.jpg,2116SBC01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528396789/Spring2018/2116SBC01_2116SDC01_purple_2.jpg,2116SBC01_purple_2,no,hi-res,,,,,,,,,,,,,,,,,61.12.41.00.00,2116SBC01|2116SDC01
ANDES FOLIAGE,4 Level Product Style,ANDES FOLIAGE,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  ","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>ANDES FOLIAGE</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Tiro bajo<br/>Mayor cubrimiento<br/>Hecho en Colombia</p>,ANDES FOLIAGE,"Reversible
Tiro bajo
Mayor cubrimiento
Hecho en Colombia",,,,Nuestra modelo usa talla Colombiana: S,,Colombia,SPRING 2018,COLOMBIA,92% POLIAMIDA 8% ELASTANO,AZUL,SWIMWEAR,<h4>ANDES FOLIAGE</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1528389788/Spring2018/2047SAC02_2047SBC02_blue_1.jpg,2047SAC02_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528389788/Spring2018/2047SAC02_2047SBC02_blue_2.jpg,2047SAC02_blue_2,no,hi-res,,,,,,,,,,,,,,,,,61.12.41.00.00,2047SAC02|2047SBC02
STARGAZER CASCADE,4 Level Product Style,STARGAZER CASCADE,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  ","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>STARGAZER CASCADE</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Corte retro de pierna alta<br/>Poco cubrimiento<br/>Hecho en Colombia</p>,STARGAZER CASCADE,"Reversible
Costuras invisibles
Corte retro de pierna alta
Poco cubrimiento
Hecho en Colombia",,,,Nuestra modelo usa talla Colombiana: S,,Colombia,SPRING 2018,COLOMBIA,93% POLIAMIDA 7% ELASTANO,AZUL,SWIMWEAR,<h4>STARGAZER CASCADE</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1528404735/Spring2018/3008SCC01_blue_1.jpg,3008SCC01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528404736/Spring2018/3008SCC01_blue_2.jpg,3008SCC01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528404737/Spring2018/3008SCC01_blue_5.jpg,3008SCC01_blue_5,,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528404738/Spring2018/3008SCC01_blue_6.jpg,3008SCC01_blue_6,no,hi-res,,,,,,,,,61.12.41.00.00,3008SCC01
STARGAZER ORNATE,4 Level Product Style,STARGAZER ORNATE,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  ","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>STARGAZER ORNATE</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Detalle de bolero en costados<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,STARGAZER ORNATE,"Reversible
Costuras invisibles
Tiro bajo
Detalle de bolero en costados
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla Colombiana: S,,Colombia,SPRING 2018,COLOMBIA,88% POLIAMIDA 12% ELASTANO,AZUL,SWIMWEAR,<h4>STARGAZER ORNATE</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1528418716/Spring2018/3052SBC01_3052SDC01_blue_1.jpg,3052SBC01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528418717/Spring2018/3052SBC01_3052SDC01_blue_2.jpg,3052SBC01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528418718/Spring2018/3052SBC01_3052SDC01_blue_5.jpg,3052SBC01_blue_5,,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528418719/Spring2018/3052SBC01_3052SDC01_blue_6.jpg,3052SBC01_blue_6,no,hi-res,,,,,,,,,61.12.41.00.00,3052SBC01|3052SDC01
