lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.keywords.string,attribute.page_url.string,attribute.size_fit.text,attribute.tax_class.string,attribute.short_description.html,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
1049tss04,3 Level Product Style,1049TSS04,active,Maaji,,,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",BEACH REPEAT,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,"<p>Sport short: Elastic waist with adjustable drawstring<br/>Premium microfiber, made from a higher thread count, gives a more luxurious touch<br/>Quick dry technology allows moisture to repel from the body with humidity and temperature control</p>",BEACH REPEAT,"Sport Short:  Elastic Waist With Adjustable Drawstring. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control. ",,,Our model wears a Colombian size M,,,Colombia,SUMMER 2018,COLOMBIA,,,,BEACH REPEAT,,active,2018,62.03.43.00.00,1049tss04_azul
1049tss03,3 Level Product Style,1049TSS03,active,Maaji,,,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",JOY QUEST,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,"<p>Sport short: Elastic waist with adjustable drawstring<br/>Premium microfiber, made from a higher thread count, gives a more luxurious touch<br/>Quick dry technology allows moisture to repel from the body with humidity and temperature control</p>",JOY QUEST,"Sport Short:  Elastic Waist With Adjustable Drawstring. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control. ",,,Our model wears a Colombian size M,,,Colombia,SUMMER 2018,COLOMBIA,,,,JOY QUEST,,active,2018,62.03.43.00.01,1049tss03_verde
1049tss02,3 Level Product Style,1049TSS02,active,Maaji,,,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",CHASING THE WILD,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,"<p>Sport short: Elastic waist with adjustable drawstring<br/>Premium microfiber, made from a higher thread count, gives a more luxurious touch<br/>Quick dry technology allows moisture to repel from the body with humidity and temperature control</p>",CHASING THE WILD,"Sport Short:  Elastic Waist With Adjustable Drawstring. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control. ",,,Our model wears a Colombian size M,,,Colombia,SUMMER 2018,COLOMBIA,,,,CHASING THE WILD,,active,2018,62.03.43.00.02,1049tss02_rojo
1046tsf04,3 Level Product Style,1046TSF04,active,Maaji,,,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SEEK THE SEA,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,"<p>Surf short: Fixed waistband surf trunk<br/>Premium microfiber, made from a higher thread count, gives a more luxurious touch<br/>Quick dry technology allows moisture to repel from the body with humidity and temperature control</p>",SEEK THE SEA,"Surf Short: Fixed Waistband Surf Trunk. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.",,,Our model wears a Colombian size M,,,Colombia,SUMMER 2018,COLOMBIA,,,,SEEK THE SEA,,active,2018,62.03.43.00.03,1046tsf04_vinotinto
1046tsf03,3 Level Product Style,1046TSF03,active,Maaji,,,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SANDED MULTICOLOR,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,"<p>Surf short: Fixed waistband surf trunk<br/>Premium microfiber, made from a higher thread count, gives a more luxurious touch<br/>Quick dry technology allows moisture to repel from the body with humidity and temperature control</p>",SANDED MULTICOLOR,"Surf Short: Fixed Waistband Surf Trunk. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.",,,Our model wears a Colombian size M,,,Colombia,SUMMER 2018,COLOMBIA,,,,SANDED MULTICOLOR,,active,2018,62.03.43.00.04,1046tsf03_azul
1042trs03,3 Level Product Style,1042TRS03,active,Maaji,,,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SPEECHLESS,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,"<p>Sport short: Elastic waist with adjustable drawstring<br/>Premium microfiber, made from a higher thread count, gives a more luxurious touch<br/>Quick dry technology allows moisture to repel from the body with humidity and temperature control</p>",SPEECHLESS,"Sport Short:  Elastic Waist With Adjustable Drawstring. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control. ",,,Our model wears a Colombian size M,,,Colombia,SUMMER 2018,COLOMBIA,,,,SPEECHLESS,,active,2018,62.03.43.00.05,1042trs03_rojo
1042trs02,3 Level Product Style,1042TRS02,active,Maaji,,,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",BLUE SKY BLUE,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,"<p>Sport short: Elastic waist with adjustable drawstring<br/>Premium microfiber, made from a higher thread count, gives a more luxurious touch<br/>Quick dry technology allows moisture to repel from the body with humidity and temperature control</p>",BLUE SKY BLUE,"Sport Short:  Elastic Waist With Adjustable Drawstring. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control. ",,,Our model wears a Colombian size M,,,Colombia,SUMMER 2018,COLOMBIA,,,,BLUE SKY BLUE,,active,2018,62.03.43.00.06,1042trs02_azul
1041tbs03,3 Level Product Style,1041TBS03,active,Maaji,,,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SOULIOURNER,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,"<p>Board short: Comfortable elastic waist with adjustable drawstring<br/>Premium microfiber, made from a higher thread count, gives a more luxurious touch<br/>Quick dry technology allows moisture to repel from the body with humidity and temperature control<br/>Packable swim short, rolls into back pocket for easy carry</p>",SOULIOURNER,"Board Short : Comfortable Elastic Waist With Adjustable Drawstring. 
Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.  
Packable Swim Short, Rolls Into Back Pocket For Easy Carry",,,Our model wears a Colombian size M,,,Colombia,SUMMER 2018,COLOMBIA,,,,SOULIOURNER,,active,2018,62.03.43.00.07,1041tbs03_verde
1041tbs02,3 Level Product Style,1041TBS02,active,Maaji,,,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",OCEANAHOLIC,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,"<p>Board short: Comfortable elastic waist with adjustable drawstring<br/>Premium microfiber, made from a higher thread count, gives a more luxurious touch<br/>Quick dry technology allows moisture to repel from the body with humidity and temperature control<br/>Packable swim short, rolls into back pocket for easy carry</p>",OCEANAHOLIC,"Board Short : Comfortable Elastic Waist With Adjustable Drawstring. 
Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.  
Packable Swim Short, Rolls Into Back Pocket For Easy Carry",,,Our model wears a Colombian size M,,,Colombia,SUMMER 2018,COLOMBIA,,,,OCEANAHOLIC,,active,2018,62.03.43.00.08,1041tbs02_rojo
1038tsl03,3 Level Product Style,1038TSL03,active,Maaji,,,,,"<p align=""justify""><b>Delivery</b>
<br>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Delivery times are dependent on your location but are typically 5-10 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
<p align=""justify""><b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",ADMIRABLE LANDSCAPE,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,"<p>Embroidery short: Embroidered front, solid back with adjustable drawstring<br/>Premium fabric with luxurious touch</p>  ",ADMIRABLE LANDSCAPE,"Embroidery Short: Embroidered Front, Solid Back With Adjustable Drawstring.  Premium Fabric With Luxurious Touch.  ",,,Our model wears a Colombian size M,,,Colombia,SUMMER 2018,COLOMBIA,,,,ADMIRABLE LANDSCAPE,,active,2018,62.03.43.00.09,1038tsl03_rojo
