lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_tariff_code.string,variation_children_code
LIKE TOTALLY,4 Level Product Style,LIKE TOTALLY,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>LIKE TOTALLY</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Full coverage <br/>Made in Colombia</p>,LIKE TOTALLY,"Reversible
Seamless
Low Rise 
Full coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIWMEAR 70% NYLON 22% POLYESTER 4% SPANDEX 4% LYCRA KNIT,RED,SWIMWEAR,<h4>LIKE TOTALLY</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523138196/HigSummer2018/2024SAC06_2024SBC06_red_1.jpg,2024SAC06_red_1,yes,https://res.cloudinary.com/maaji/image/upload/v1523138193/HigSummer2018/2024SAC06_2024SBC06_red_2.jpg,2024SAC06_red_2,,,,,,,,,,,,,,61.12.41.00.00,2024SAC06|2024SBC06
SONNY AND CHER,4 Level Product Style,SONNY AND CHER,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SONNY AND CHER</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br>Seamless<br/>Low Rise <br/>Full coverage <br/>Made in Colombia</p>,SONNY AND CHER,"Reversible
Seamless
Low Rise 
Full coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIWMEAR 70% NYLON 22% POLYESTER 4% SPANDEX 4% LYCRA KNIT,YELLOW,SWIMWEAR,<h4>SONNY AND CHER</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523138708/HigSummer2018/2043SAC09_2043SBC09_yellow_1.jpg,2043SAC09_yellow_1,yes,https://res.cloudinary.com/maaji/image/upload/v1523138711/HigSummer2018/2043SAC09_2043SBC09_yellow_2.jpg,2043SAC09_yellow_2,,,,,,,,,,,,,,61.12.41.00.00,2043SAC09|2043SBC09
NARLY DUDE,4 Level Product Style,NARLY DUDE,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>NARLY DUDE</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Moderate coverage <br/>Made in Colombia</p>,NARLY DUDE,"Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,YELLOW,SWIMWEAR,<h4>NARLY DUDE</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523139378/HigSummer2018/2062SBC13_2062SCC13_blue_1.jpg,2062SBC13_blue_1,yes,https://res.cloudinary.com/maaji/image/upload/v1523139380/HigSummer2018/2062SBC13_2062SCC13_blue_2.jpg,2062SBC13_blue_2,,,,,,,,,,,,,,61.12.41.00.00,2062SBC13|2062SCC13
IN YOUR DREAMS,4 Level Product Style,IN YOUR DREAMS,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>IN YOUR DREAMS</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Moderate coverage <br/>Made in Colombia</p>,IN YOUR DREAMS,"Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 84% NYLON 16% SPANDEX KNIT,YELLOW,SWIMWEAR,<h4>IN YOUR DREAMS</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523140058/HigSummer2018/2110SBC04_2110SDC04_blue_1.jpg,2110SBC04_blue_1,yes,https://res.cloudinary.com/maaji/image/upload/v1523140059/HigSummer2018/2110SBC04_2110SDC04_blue_2.jpg,2110SBC04_blue_2,,,,,,,,,,,,,,61.12.41.00.00,2110SBC04|2110SDC04
SIXTEEN CANDIES,4 Level Product Style,SIXTEEN CANDIES,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SIXTEEN CANDIES</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Deep scoop one piece <br/>Adjustable criss cross back<br/>High leg cut<br/>Lace up and tie back string<br/>Made in Colombia</p>,SIXTEEN CANDIES,"Reversible
Deep scoop one piece 
Adjustable criss cross back
High leg cut
Lace up and tie back string
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,WOMENS SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,YELLOW,SWIMWEAR,<h4>SIXTEEN CANDIES</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523140787/HigSummer2018/2119SOH03_2119SOR03_yellow_3.jpg,2119SOH03_yellow_3,yes,https://res.cloudinary.com/maaji/image/upload/v1523140789/HigSummer2018/2119SOH03_2119SOR03_yellow_4.jpg,2119SOH03_yellow_4,,,,,,,,,,,,,,61.12.41.00.00,2119SOH03|2119SOR03
BREAKFAST CLUB,4 Level Product Style,BREAKFAST CLUB,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>BREAKFAST CLUB</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>High Rise<br/>Lace up and tie sides strings<br/>Moderate coverage <br/>Made in Colombia</p>,BREAKFAST CLUB,"Reversible
Seamless
High Rise
Lace up and tie sides strings
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,YELLOW,SWIMWEAR,<h4>BREAKFAST CLUB</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523141165/HigSummer2018/2130SBC02_2130SCC02_blue_1.jpg,2130SBC02_blue_1,yes,https://res.cloudinary.com/maaji/image/upload/v1523141163/HigSummer2018/2130SBC02_2130SCC02_blue_2.jpg,2130SBC02_blue_2,,,,,,,,,,,,,,61.12.41.00.00,2130SBC02|2130SCC02
TOOCOOL FORSCHOOL,4 Level Product Style,TOOCOOL FORSCHOOL,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>TOOCOOL FORSCHOOL</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Moderate coverage <br/>Made in Colombia</p>,TOOCOOL FORSCHOOL,"Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIWMEAR 70% NYLON 22% POLYESTER 4% SPANDEX 4% LYCRA KNIT,YELLOW,SWIMWEAR,<h4>TOOCOOL FORSCHOOL</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523141585/HigSummer2018/2194SBC01_2194SDC01_yellow_1.jpg,2194SBC01_yellow_1,yes,https://res.cloudinary.com/maaji/image/upload/v1523141589/HigSummer2018/2194SBC01_2194SDC01_yellow_2.jpg,2194SBC01_yellow_2,,,,,,,,,,,,,,61.12.41.00.00,2194SBC01|2194SDC01
CRYSTAL BLUE SUBLIME,4 Level Product Style,CRYSTAL BLUE SUBLIME,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CRYSTAL BLUE SUBLIME</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Full coverage <br/>Made in Colombia</p>,CRYSTAL BLUE SUBLIME,"Reversible
Seamless
Low Rise 
Full coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 87% NYLON 13% SPANDEX KNIT,YELLOW,SWIMWEAR,<h4>CRYSTAL BLUE SUBLIME</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523142112/HigSummer2018/3007SAC22_3007SBC22_3007SCC22_3007SDC22_blue_1.jpg,3007SAC22_blue_1,yes,https://res.cloudinary.com/maaji/image/upload/v1523142118/HigSummer2018/3007SAC22_3007SBC22_3007SCC22_3007SDC22_blue_2.jpg,3007SAC22_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1523142117/HigSummer2018/3007SAC22_3007SBC22_3007SCC22_3007SDC22_blue_5.jpg,3007SAC22_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1523142115/HigSummer2018/3007SAC22_3007SBC22_3007SCC22_3007SDC22_blue_6.jpg,3007SAC22_blue_6,,,,,,,,61.12.41.00.00,3007SAC22|3007SBC22|3007SCC22|3007SDC22
SHIMMERING CHESTNUT SUBLIME,4 Level Product Style,SHIMMERING CHESTNUT SUBLIME,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SHIMMERING CHESTNUT SUBLIME</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Full coverage <br/>Made in Colombia</p>,SHIMMERING CHESTNUT SUBLIME,"Reversible
Seamless
Low Rise 
Full coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 88% NYLON 12% SPANDEX KNIT,YELLOW,SWIMWEAR,<h4>SHIMMERING CHESTNUT SUBLIME</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523142954/HigSummer2018/3007SAC23_3007SBC23_3007SCC23_3007SDC23_brown_1.jpg,3007SAC23_brown_1,yes,https://res.cloudinary.com/maaji/image/upload/v1523142956/HigSummer2018/3007SAC23_3007SBC23_3007SCC23_3007SDC23_brown_2.jpg,3007SAC23_brown_2,,https://res.cloudinary.com/maaji/image/upload/v1523142950/HigSummer2018/3007SAC23_3007SBC23_3007SCC23_3007SDC23_brown_5.jpg,3007SAC23_brwon_5,,https://res.cloudinary.com/maaji/image/upload/v1523142956/HigSummer2018/3007SAC23_3007SBC23_3007SCC23_3007SDC23_brown_6.jpg,3007SAC23_brown_6,,,,,,,,61.12.41.00.00,3007SAC23|3007SBC23|3007SCC23|3007SDC23
MELLOW YELLOW CANDY,4 Level Product Style,MELLOW YELLOW CANDY,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>MELLOW YELLOW CANDY</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Moderate coverage <br/>Made in Colombia</p>,MELLOW YELLOW CANDY,"Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 87% NYLON 13% SPANDEX KNIT,YELLOW,SWIMWEAR,<h4>MELLOW YELLOW CANDY</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523143844/HigSummer2018/3072SBC07_3072SCC07_yellow_1.jpg,3072SBC07,yes,https://res.cloudinary.com/maaji/image/upload/v1523143843/HigSummer2018/3072SBC07_3072SCC07_yellow_2.jpg,3072SBC07_yellow_2,,https://res.cloudinary.com/maaji/image/upload/v1523143844/HigSummer2018/3072SBC07_3072SCC07_yellow_5.jpg,3072SBC07_yellow_5,,https://res.cloudinary.com/maaji/image/upload/v1523143838/HigSummer2018/3072SBC07_3072SCC07_yellow_6.jpg,3072SBC07_yellow_6,,,,,,,,61.12.41.00.00,3072SBC07|3072SCC07
