lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.keywords.string,attribute.page_url.string,attribute.size_fit.text,attribute.tax_class.string,attribute.short_description.html,category.1.path,category.1.category_set,category.2.path,category.2.category_set,category.3.path,category.3.category_set,category.4.path,category.4.category_set,category.5.path,category.5.category_set,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_tariff_code.string,variation_children_code
1539CSD01,3 Level Product Style,1539CSD01,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>FARRAHS PARTY</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/<No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente.<br/>No usar vinagre</p>,<p>Vestido corto con espalda descubierta<br/>Cargaderas ajustables<br/>Corte en copas</p>,FARRAHS PARTY,"Vestido corto con espalda descubierta
Cargaderas ajustables
Corte en copas",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,COVER UPS > DRESSES,default,COVER UPS > DRESSES,Maaji_AU,COVER UPS > DRESSES,Maaji_EUR,COVER UPS > DRESSES,Maaji_US,ROPA DE PLAYA > VESTIDOS,Maaji_CO,Colombia,HIGH SUMMER 2018,COLOMBIA,100% NYLON TEJÍDO DE PUNTO,ANARANJADO,ROPA DE PLAYA,<h4>FARRAHS PARTY</h4>,,active,2018,MUJERES,active,61.04.43.00.00,1539CSD01_orange
1540CCT01,3 Level Product Style,1540CCT01,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>TOTALLY TUBULAR</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/<No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente.<br/>No usar vinagre</p>,<p>Top  strapless <br/>Copa tipo pañoleta libre<br/>Top elástico<br/>Multi funcion</p>,TOTALLY TUBULAR,"Top  strapless
Copa tipo pañoleta libre
Top elástico
Multi funcion",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,COVER UPS > TOPS,default,COVER UPS > TOPS,Maaji_AU,COVER UPS > TOPS,Maaji_EUR,COVER UPS > TOPS,Maaji_US,ROPA DE PLAYA > TOPS,Maaji_CO,Colombia,HIGH SUMMER 2018,COLOMBIA,100% NYLON TEJÍDO DE PUNTO,ANARANJADO,ROPA DE PLAYA,<h4>TOTALLY TUBULAR</h4>,,active,2018,MUJERES,active,62.04.44.00.00,1540CCT01_orange
1541CPA01,3 Level Product Style,1541CPA01,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>FLOWER POWER</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/<No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente.<br/>No usar vinagre</p>,<p>Pantalón con abertura en laterales<br/>Pretina elástica<br/>Pretina regulable</p>,FLOWER POWER,"Pantalón con abertura en laterales
Pretina elástica
Pretina regulable",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,COVER UPS > PANTS,default,COVER UPS > PANTS,Maaji_AU,COVER UPS > PANTS,Maaji_EUR,COVER UPS > PANTS,Maaji_US,ROPA DE PLAYA > PANTALONES,Maaji_CO,Colombia,HIGH SUMMER 2018,COLOMBIA,100% NYLON TEJÍDO DE PUNTO,ANARANJADO,ROPA DE PLAYA,<h4>FLOWER POWER</h4>,,active,2018,MUJERES,active,61.04.63.00.00,1541CPA01_orange
1542CCT01,3 Level Product Style,1542CCT01,active,Maaji,1,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>NOW AND LATER</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/<No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente.<br/>No usar vinagre</p>,<p>Crop top sin hombros<br/>Regulable<br/>Escote elástico<br/>2 formas</p>,NOW AND LATER,"Crop top sin hombros
Regulable
Escote elástico
2 formas",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,COVER UPS > TOPS,default,COVER UPS > TOPS,Maaji_AU,COVER UPS > TOPS,Maaji_EUR,COVER UPS > TOPS,Maaji_US,ROPA DE PLAYA > TOPS,Maaji_CO,Colombia,HIGH SUMMER 2018,COLOMBIA,100% VISCOSA TEJIDA,AZUL,ROPA DE PLAYA,<h4>NOW AND LATER</h4>,,active,2018,MUJERES,active,61.14.30.00.00,1542CCT01_blue
1543CSH01,3 Level Product Style,1543CSH01,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>FANTASY ISLAND</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/<No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente.<br/>No usar vinagre</p>,<p>Short fluido con pretina ancha</p>,FANTASY ISLAND,Short fluido con pretina ancha,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,COVER UPS > SHORTS,default,COVER UPS > SHORTS,Maaji_AU,COVER UPS > SHORTS,Maaji_EUR,COVER UPS > SHORTS,Maaji_US,ROPA DE PLAYA > SHORTS,Maaji_CO,Colombia,HIGH SUMMER 2018,COLOMBIA,100% NYLON TEJÍDO DE PUNTO,AZUL,ROPA DE PLAYA,<h4>FANTASY ISLAND</h4>,,active,2018,MUJERES,active,61.04.63.00.00,1543CSH01_blue
1544CSD01,3 Level Product Style,1544CSD01,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>GET REAL</h4>,<p>Preferiblemente lavar a mano y con jabon suave.<br/<No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente.<br/>No usar vinagre</p>,"<p>Vestido corto<br/>Escote en ""V""<br/>Cargaderas Regulabres<br/>Tiras cruzadas decorativas<br/>Detalle de botones fijos</p>",GET REAL,"Vestido corto
Escote en ""V""
Cargaderas Regulabres
Tiras cruzadas decorativas
Detalle de botones fijos",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,COVER UPS > DRESSES,default,COVER UPS > DRESSES,Maaji_AU,COVER UPS > DRESSES,Maaji_EUR,COVER UPS > DRESSES,Maaji_US,ROPA DE PLAYA > VESTIDOS,Maaji_CO,Colombia,HIGH SUMMER 2018,COLOMBIA,92% VISCOSA 3% POLIÉSTER 3% POLIETILENO 2% ACRÍLICO TEJIDO,AZUL,ROPA DE PLAYA,<h4>GET REAL</h4>,,active,2018,MUJERES,active,62.04.44.00.00,1544CSD01_blue
2135SSF04,3 Level Product Style,2135SSF04,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>BOOGIE WAVES</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Fajón ancho<br/>Hecho en Colombia</p>,BOOGIE WAVES,"Fajón ancho
Hecho en Colombia",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,Maaji_AU,SWIMWEAR > BOTTOMS,Maaji_EUR,SWIMWEAR > BOTTOMS,Maaji_US,SWIMWEAR > BOTTOMS,Maaji_CO,Colombia,HIGH SUMMER 2018,COLOMBIA,92% POLIAMIDA 8% ELASTANO,AMARILLO,SWIMWEAR,<h4>BOOGIE WAVES</h4>,,active,2018,MUJERES,active,61.04.63.00.00,2135SSF04_blue
2161SFA03,3 Level Product Style,2161SFA03,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>BREAKFAST CLUB</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,"<p>Reversible<br/>Copas  removibles<br/>Top con escote en ""V""<br/>Espalda cruzada ajustable<br/>Buen cubrimiento delantero<br/>Hecho en Colombia</p>",BREAKFAST CLUB,"Reversible
Copas  removibles
Top con escote en ""V""
Espalda cruzada ajustable
Buen cubrimiento delantero
Hecho en Colombia",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,SWIMWEAR > TOPS,default,SWIMWEAR > TOPS,Maaji_AU,SWIMWEAR > TOPS,Maaji_EUR,SWIMWEAR > TOPS,Maaji_US,SWIMWEAR > TOPS,Maaji_CO,Colombia,HIGH SUMMER 2018,COLOMBIA,90% POLIAMIDA 10% ELASTANO,AMARILLO,SWIMWEAR,<h4>BREAKFAST CLUB</h4>,,active,2018,MUJERES,active,61.12.41.00.00,2161SFA03_brown
2171SFH02,3 Level Product Style,2171SFH02,active,Maaji,0,1,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>LIKE TOTALLY</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>4 Formas de usar<br/>Halter top<br/>Copas removibles<br/>Tiras de hombros removibles<br/>Buen cubrimiento en delantero <br/>Hecho en Colombia</p>,LIKE TOTALLY,"Reversible
4 Formas de usar
Halter top
Copas removibles
Tiras de hombros removibles
Buen cubrimiento en delantero
Hecho en Colombia",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,SWIMWEAR > TOPS,default,SWIMWEAR > TOPS,Maaji_AU,SWIMWEAR > TOPS,Maaji_EUR,SWIMWEAR > TOPS,Maaji_US,SWIMWEAR > TOPS,Maaji_CO,Colombia,HIGH SUMMER 2018,COLOMBIA,66% POLIAMIDA 26% POLIESTER 4% ELASTANO 4%LICRA,AMARILLO,SWIMWEAR,<h4>LIKE TOTALLY</h4>,,active,2018,MUJERES,active,61.12.41.00.00,2171SFH02_yellow
2178SUN02,3 Level Product Style,2178SUN02,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>SONNY AND CHER</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Top de varilla<br/>Copas prehormadas<br/>Ajustable en hombros y espalda<br/>Triple tira en hombros<br/>Buen cubrimiento y soporte en delantero<br/>Hecho en Colombia</p>,SONNY AND CHER,"Top de varilla
Copas prehormadas
Ajustable en hombros y espalda
Triple tira en hombros
Buen cubrimiento y soporte en delantero
Hecho en Colombia",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,SWIMWEAR > TOPS,default,SWIMWEAR > TOPS,Maaji_AU,SWIMWEAR > TOPS,Maaji_EUR,SWIMWEAR > TOPS,Maaji_US,SWIMWEAR > TOPS,Maaji_CO,Colombia,HIGH SUMMER 2018,COLOMBIA,82% POLIAMIDA 9% POLIESTER 7% ELASTANO 1%LICRA 1% ALGODÓN,AMARILLO,SWIMWEAR,<h4>SONNY AND CHER</h4>,,active,2018,MUJERES,active,61.12.41.00.00,2178SUN02_yellow
