lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_tariff_code.string,variation_children_code
SHIMMERING COGNAC SUBLIME,4 Level Product Style,SHIMMERING COGNAC SUBLIME,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",SHIMMERING COGNAC SUBLIME,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Brazilian cut<br/>Made in Colombia</p>,SHIMMERING COGNAC SUBLIME,"Reversible
Seamless
Low rise
Brazilian cut
Made in Colombia",,,,Our model wears an Colombian size SMALL,,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 89% NYLON 11% SPANDEX KNIT,RED,SWIMWEAR,SHIMMERING COGNAC SUBLIME,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801523/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown_1.jpg,3007SAC14_brown_1,,https://res.cloudinary.com/maaji/image/upload/v1517801541/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown_2.jpg,3007SAC14_brown_2,,https://res.cloudinary.com/maaji/image/upload/v1517801636/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown_5.jpg,3007SAC14_brown_5,,https://res.cloudinary.com/maaji/image/upload/v1517801568/Summer2018/3007SAC14_3007SBC14_3007SCC14_3007SDC14_brown.jpg,3007SAC14_brown_6,,,,,,,,61.12.41.00.00,3007SAC14|3007SBC14|3007SCC14|3007SDC14
DAHLIA RENDEZVOUS,4 Level Product Style,DAHLIA RENDEZVOUS,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",DAHLIA RENDEZVOUS,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Adjustable at sides<br/>Full coverage<br/>Made in Colombia</p>,DAHLIA RENDEZVOUS,"Reversible
Seamless
Low rise
Adjustable at sides
Full coverage
Made in Colombia",,,,Our model wears an Colombian size SMALL,,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,RED,SWIMWEAR,DAHLIA RENDEZVOUS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801571/Summer2018/3013SBC03_3013SCC03_red_1.jpg,3013SBC03_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801541/Summer2018/3013SBC03_3013SCC03_red_2.jpg,3013SBC03_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801589/Summer2018/3013SBC03_3013SCC03_red_5.jpg,3013SBC03_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801582/Summer2018/3013SBC03_3013SCC03_red_6.jpg,3013SBC03_red_6,,,,,,,,61.12.41.00.00,3013SBC03|3013SCC03
DAHLIA SUBLIME,4 Level Product Style,DAHLIA SUBLIME,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",DAHLIA SUBLIME,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Full coverage<br/>Made in Colombia</p>,DAHLIA SUBLIME,"Reversible
Seamless
Low rise
Full coverage
Made in Colombia",,,,Our model wears an Colombian size SMALL,,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,RED,SWIMWEAR,DAHLIA SUBLIME,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801483/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_1.jpg,3007SAC15_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801480/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_2.jpg,3007SAC15_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517801484/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDc15_red_5.jpg,3007SAC15_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517801517/Summer2018/3007SAC15_3007SBC15_3007SCC15_3007SDC15_red_6.jpg,3007SAC15_red_6,,,,,,,,61.12.41.00.00,3007SAC15|3007SBC15|3007SCC15|3007SDC15
CAPE LA VELA,4 Level Product Style,CAPE LA VELA,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",CAPE LA VELA,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Deep scoop one piece<br/>Lace up and tie string<br/>Adjustable criss cross back<br/>Regular rise<br/>Made in Colombia</p>,CAPE LA VELA,"Reversible
Deep scoop one piece
Lace up and tie string
Adjustable criss cross back
Regular rise
Made in Colombia",,,,Our model wears an Colombian size SMALL,,Colombia,SUMMER 2018,COLOMBIA,WOMENS SWIMWEAR ONE PIECE 85%NYLON 12%SPANDEX 1% POLYESTER 1%PET 1%ACRYLIC KNIT,RED,SWIMWEAR,CAPE LA VELA,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517877870/Summer2018/2166SOR01_2166SOH01_pink_3.jpg,2166SOR01_pink_3,,https://res.cloudinary.com/maaji/image/upload/v1517877869/Summer2018/2166SOR01_2166SOH01_pink_4.jpg,2166SOH01_pink_4,,,,,,,,,,,,,,61.12.41.00.00,2166SOR01|2166SOH01
GUAJIRA PARK,4 Level Product Style,GUAJIRA PARK,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",GUAJIRA PARK,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,GUAJIRA PARK,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size SMALL,,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 86% NYLON 14% SPANDEX KNIT,RED,SWIMWEAR,GUAJIRA PARK,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523566066/Summer2018/2043SBC05_2043SCC05_red_1.jpg,2043SBC05_red_1,,https://res.cloudinary.com/maaji/image/upload/v1523566066/Summer2018/2043SBC05_2043SCC05_red_2.jpg,2043SCC05_red_2,,,,,,,,,,,,,,61.12.41.00.00,2043SBC05|2043SCC05
RED LEAVES,4 Level Product Style,RED LEAVES,active,Maaji,0,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",RED LEAVES,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,RED LEAVES,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size SMALL,,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 83% NYLON 17% SPANDEX KNIT,RED,SWIMWEAR,RED LEAVES,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517879500/Summer2018/2168SBC01_2168SCC01_red_1.jpg,2168SBC01_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801276/Summer2018/2168SBC01_2168SCC01_red_2.jpg,2168SBC01_red_2,,,,,,,,,,,,,,61.12.41.00.00,2168SBC01|2168SCC01
CURUBA TROPICA,4 Level Product Style,CURUBA TROPICA,active,Maaji,0,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",CURUBA TROPICA,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Less coverage at rear<br/>Made in Colombia</p>,CURUBA TROPICA,"Reversible
Seamless
Low rise
Less coverage at rear
Made in Colombia",,,,Our model wears an Colombian size SMALL,,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,RED,SWIMWEAR,CURUBA TROPICA,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801342/Summer2018/2062SBC09_2062SCC09_red_1.jpg,2062SBC09_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801279/Summer2018/2062SBC09_2062SCC09_red_2.jpg,2062SBC09_red_2,,,,,,,,,,,,,,61.12.41.00.00,2062SBC09|2062SCC09
CORAL REEF TOUCAN,4 Level Product Style,CORAL REEF TOUCAN,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",CORAL REEF TOUCAN,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Full coverage<br/>Made in Colombia</p>,CORAL REEF TOUCAN,"Reversible
Seamless
Low rise
Full coverage
Made in Colombia",,,,Our model wears an Colombian size SMALL,,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,RED,SWIMWEAR,CORAL REEF TOUCAN,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801240/Summer2018/2024SAC05_2024SBC05_red_1.jpg,2024SAC05_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801186/Summer2018/2024SAC05_2024SBC05_red_2.jpg,2024SAC05_red_2,,,,,,,,,,,,,,61.12.41.00.00,2024SAC05|2024SBC05
FLOWERY KNOTS,4 Level Product Style,FLOWERY KNOTS,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",FLOWERY KNOTS,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,FLOWERY KNOTS,"Reversible
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size SMALL,,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,RED,SWIMWEAR,FLOWERY KNOTS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801259/Summer2018/2061SBC02_2061SCC02_brown_1.jpg,2061SBC02_brown_1,,https://res.cloudinary.com/maaji/image/upload/v1517801279/Summer2018/2061SBC02_2061SCC02_brown_2.jpg,2061SBC02_brown_2,,,,,,,,,,,,,,61.12.41.00.00,2061SBC02|2061SCC02
ANDALUSIA FRILLS,4 Level Product Style,ANDALUSIA FRILLS,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",ANDALUSIA FRILLS,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Ruffle detail at sides<br/>Seamless<br/>Low rise<br/>Moderate coverage<br/>Made in Colombia</p>,ANDALUSIA FRILLS,"Reversible
Ruffle detail at sides
Seamless
Low rise
Moderate coverage
Made in Colombia",,,,Our model wears an Colombian size SMALL,,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 87% NYLON 13% SPANDEX KNIT,RED,SWIMWEAR,ANDALUSIA FRILLS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517801458/Summer2018/2172SBC01_2172SDC01_red_1.jpg,2172SBC01_red_1,,https://res.cloudinary.com/maaji/image/upload/v1517801487/Summer2018/2172SDC01_red_2.jpg,2172SDC01_red_2,,,,,,,,,,,,,,61.12.41.00.00,2172SBC01|2172SDC01
