lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.keywords.string,attribute.page_url.string,attribute.size_fit.text,attribute.tax_class.string,attribute.short_description.html,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
1049TSS04,3 Level Product Style,1049TSS04,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",BEACH REPEAT,<p> Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar </p>,"<p>Sport Short:  <br/>Elastic Waist With Adjustable Drawstring. <br/>Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  <br/>Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.</P>",BEACH REPEAT,"Sport Short:  Elastic Waist With Adjustable Drawstring. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control. ",,,Our model wears a Colombian size S,,,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 75% POLYESTER 24% NYLON 1% POLIETILENO WOVEN,N/A,TRUNKS,BEACH REPEAT,MEN,active,2018,6203430000,1049TSS04_blue
1049TSS03,3 Level Product Style,1049TSS03,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",JOY QUEST,<p> Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar </p>,"<p>Sport Short:  <br/>Elastic Waist With Adjustable Drawstring. <br/>Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  <br/>Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.</p> ",JOY QUEST,"Sport Short:  Elastic Waist With Adjustable Drawstring. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control. ",,,Our model wears a Colombian size S,,,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 75% POLYESTER 24% NYLON 1% POLIETILENO WOVEN,N/A,TRUNKS,JOY QUEST,MEN,active,2018,6203430000,1049TSS03_green
1049TSS02,3 Level Product Style,1049TSS02,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",CHASING THE WILD,<p> Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar </p>,"<p>Sport Short:  <br>/Elastic Waist With Adjustable Drawstring. <br/>Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  <br/>Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.</P>",CHASING THE WILD,"Sport Short:  Elastic Waist With Adjustable Drawstring. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control. ",,,Our model wears a Colombian size S,,,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 75% POLYESTER 24% NYLON 1% POLIETILENO WOVEN,N/A,TRUNKS,CHASING THE WILD,MEN,active,2018,6203430000,1049TSS02_red
1046TSF04,3 Level Product Style,1046TSF04,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SEEK THE SEA,<p> Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar </p>,"<p>Surf Short: Fixed Waistband Surf Trunk. <br/>Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  <br/>Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.</p>",SEEK THE SEA,"Surf Short: Fixed Waistband Surf Trunk. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.",,,Our model wears a Colombian size S,,,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN,N/A,TRUNKS,SEEK THE SEA,MEN,active,2018,6203430000,1046TSF04_wine
1046TSF03,3 Level Product Style,1046TSF03,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SANDED MULTICOLOR,<p> Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar </p>,"<p>Surf Short: <br/>Fixed Waistband Surf Trunk. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch. <br/> Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.</p>",SANDED MULTICOLOR,"Surf Short: Fixed Waistband Surf Trunk. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.",,,Our model wears a Colombian size S,,,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN,N/A,TRUNKS,SANDED MULTICOLOR,MEN,active,2018,6203430000,1046TSF03_blue
1042TRS03,3 Level Product Style,1042TRS03,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SPEECHLESS,<p> Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar </p>,"<p>Sport Short:  <br/>Elastic Waist With Adjustable Drawstring. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  <br/>Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.</p> ",SPEECHLESS,"Sport Short:  Elastic Waist With Adjustable Drawstring. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control. ",,,Our model wears a Colombian size S,,,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 98% POLYESTER 1% POLIETILENO 1% ACRYLIC WOVEN,N/A,TRUNKS,SPEECHLESS,MEN,active,2018,6203430000,1042TRS03_red
1042TRS02,3 Level Product Style,1042TRS02,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",BLUE SKY BLUE,<p> Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar </p>,"<p>Sport Short:  <br/>Elastic Waist With Adjustable Drawstring. <br/>Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  <br/>Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.</p>",BLUE SKY BLUE,"Sport Short:  Elastic Waist With Adjustable Drawstring. Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control. ",,,Our model wears a Colombian size S,,,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 98% POLYESTER 1% POLIETILENO 1% ACRYLIC WOVEN,N/A,TRUNKS,BLUE SKY BLUE,MEN,active,2018,6203430000,1042TRS02_blue
1041TBS03,3 Level Product Style,1041TBS03,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",SOULIOURNER,<p> Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar </p>,"<p>Board Short : Comfortable Elastic Waist With Adjustable Drawstring. 
<br/>Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  <br/>Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.  
<br/>Packable Swim Short, Rolls Into Back Pocket For Easy Carry</p>",SOULIOURNER,"Board Short : Comfortable Elastic Waist With Adjustable Drawstring. 
Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.  
Packable Swim Short, Rolls Into Back Pocket For Easy Carry",,,Our model wears a Colombian size S,,,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN,N/A,TRUNKS,SOULIOURNER,MEN,active,2018,6203430000,1041TBS03_green
1041TBS02,3 Level Product Style,1041TBS02,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",OCEANAHOLIC,<p> Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar </p>,"<p>Board Short : Comfortable Elastic Waist With Adjustable Drawstring. 
<br/>Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  <br/>Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.  
<br/>Packable Swim Short, Rolls Into Back Pocket For Easy Carry<p>",OCEANAHOLIC,"Board Short : Comfortable Elastic Waist With Adjustable Drawstring. 
Premium Microfiber, Made From A Higher Thread Count, Gives A More Luxurious Touch.  Quick Dry Technology Allows  Moisture To Repel From The Body With Humidity And Temperature Control.  
Packable Swim Short, Rolls Into Back Pocket For Easy Carry",,,Our model wears a Colombian size S,,,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 91% POLYESTER 7% NYLON 1% POLIETILENO 1% ACRYLIC WOVEN,N/A,TRUNKS,OCEANAHOLIC,MEN,active,2018,6203430000,1041TBS02_red
1038TSL03,3 Level Product Style,1038TSL03,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",ADMIRABLE LANDSCAPE,<p> Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar </p>,"<p>Embroidery Short: <br/>Embroidered Front, Solid Back With Adjustable Drawstring.  <br/>Premium Fabric With Luxurious Touch.</p>  ",ADMIRABLE LANDSCAPE,"Embroidery Short: Embroidered Front, Solid Back With Adjustable Drawstring.  Premium Fabric With Luxurious Touch.  ",,,Our model wears a Colombian size S,,,Colombia,SUMMER 2018,COLOMBIA,MENS TRUNKS 97% NYLON 1% POLYESTER 1% ACRYLIC 1% POLIETILENO WOVEN,N/A,TRUNKS,ADMIRABLE LANDSCAPE,MEN,active,2018,6203430000,1038TSL03_red
