lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.keywords.string,attribute.page_url.string,attribute.size_fit.text,attribute.tax_class.string,attribute.short_description.html,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
1539CSD01,3 Level Product Style,1539CSD01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>FARRAHS PARTY</h4>,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Short Dress<br/>Sleeveless<br/>Elastic Below The Cups  And Back<br/>Adjustable Straps</p>,FARRAHS PARTY,"Short Dress
Sleeveless
Elastic Below The Cups  And Back 
Adjustable Straps",,,Our model wears a Colombian size Small,,,Colombia,HIGH SUMMER 2018,COLOMBIA,WOMENS DRESS 100% NYLON KNIT,ORANGE,COVER UPS,<h4>FARRAHS PARTY</h4>,WOMEN,active,2018,61.04.43.00.00,1539CSD01_orange
1540CCT01,3 Level Product Style,1540CCT01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>TOTALLY TUBULAR</h4>,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Scarf crop top<br/>Sleveeless.<br/>Front knot detail.<br/>Smocked at back<br/>Multiways</p>,TOTALLY TUBULAR,"Scarf crop top
Sleveeless
Front knot detail.
Smocked at back
Multiways  ",,,Our model wears a Colombian size Small,,,Colombia,HIGH SUMMER 2019,COLOMBIA,WOMENS CROP TOP 100% NYLON KNIT,ORANGE,COVER UPS,<h4>TOTALLY TUBULAR</h4>,WOMEN,active,2018,62.04.44.00.00,1540CCT01_orange
1541CPA01,3 Level Product Style,1541CPA01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>FLOWER POWER</h4>,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>In knit crepe these slouchy lounge pants featuring statement slit detailing in front.<br/>Tassale dateil on sttrings</p>,FLOWER POWER,"In knit crepe these slouchy lounge pants featuring statement slit detailing in front.
Tassale dateil on sttrings",,,Our model wears a Colombian size Small,,,Colombia,HIGH SUMMER 2020,COLOMBIA,WOMENS PANTS 100% NYLON KNIT,ORANGE,COVER UPS,<h4>FLOWER POWER</h4>,WOMEN,active,2018,61.04.63.00.00,1541CPA01_orange
1542CCT01,3 Level Product Style,1542CCT01,active,Maaji,1,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>NOW AND LATER</h4>,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Crop top<br/>Back lace-up tie clousure <br/>2 ways</p>,NOW AND LATER,"Crop top
Back lace-up tie clousure
2 ways",,,Our model wears a Colombian size Small,,,Colombia,HIGH SUMMER 2021,COLOMBIA,WOMENS CROP TOP 100% VISCOSE WOVEN,BLUE,COVER UPS,<h4>NOW AND LATER</h4>,WOMEN,active,2018,61.14.30.00.00,1542CCT01_blue
1543CSH01,3 Level Product Style,1543CSH01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>FANTASY ISLAND</h4>,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Palazzo short <br/>Elastic Waistband</p>,FANTASY ISLAND,"Palazzo short 
Elastic Waistband",,,Our model wears a Colombian size Small,,,Colombia,HIGH SUMMER 2022,COLOMBIA,WOMENS SHORT 100% NYLON KNIT,BLUE,COVER UPS,<h4>FANTASY ISLAND</h4>,WOMEN,active,2018,61.04.63.00.00,1543CSH01_blue
1544CSD01,3 Level Product Style,1544CSD01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>GET REAL</h4>,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Short Dress<br/>Round Neckline<br/>Sleeveless<br/>Adjustable Straps</p>,GET REAL,"Short Dress
Round Neckline
Sleeveless
Adjustable Straps ",,,Our model wears a Colombian size Small,,,Colombia,HIGH SUMMER 2023,COLOMBIA,WOMENS DRESS 92% VISCOSE 3% POLYESTER 3% POLIETILENO 2% ACRYLIC WOVEN,BLUE,COVER UPS,<h4>GET REAL</h4>,WOMEN,active,2018,62.04.44.00.00,1544CSD01_blue
2135SSF04,3 Level Product Style,2135SSF04,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>BOOGIE WAVES</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Wide waistband<br/>Dolphin Cut <br/>Made in Colombia</p>,BOOGIE WAVES,"Wide waistband
Dolphin Cut 
Made in Colombia",,,Our model wears a Colombian size Small,,,Colombia,HIGH SUMMER 2024,COLOMBIA,WOMENS SHORT 92%NYLON 8% SPANDEX KNIT,YELLOW,SWIMWEAR,<h4>BOOGIE WAVES</h4>,WOMEN,active,2018,61.04.63.00.00,2135SSF04_blue
2161SFA03,3 Level Product Style,2161SFA03,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>BREAKFAST CLUB</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Removable soft pads<br/>Bralette Top<br/>Adjustable back with lace up tie<br/>Full coverage at front<br/>Made in Colombia</p>,BREAKFAST CLUB,"Reversible
Removable soft pads
Bralette Top
Adjustable back with lace up tie
Full coverage at front
Made in Colombia",,,Our model wears a Colombian size Small,,,Colombia,HIGH SUMMER 2025,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 90% NYLON 10% SPANDEX KNIT,YELLOW,SWIMWEAR,<h4>BREAKFAST CLUB</h4>,WOMEN,active,2018,61.12.41.00.00,2161SFA03_brown
2171SFH02,3 Level Product Style,2171SFH02,active,Maaji,0,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>LIKE TOTALLY</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>4 ways top (wear it to back and front)<br/>Halter top<br/>Lace up with tie strings<br/>Removable Soft Pads<br/>Full coverage at front<br/>Made in Colombia</p>,LIKE TOTALLY,"Reversible
4 ways top (wear it to back and front)
Halter top
Lace up with tie strings
Removable Soft Pads
Full coverage at front
Made in Colombia",,,Our model wears a Colombian size Small,,,Colombia,HIGH SUMMER 2026,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 66% NYLON 26% POLYESTER 4% LYCRA 4% SPANDEX KNIT,YELLOW,SWIMWEAR,<h4>LIKE TOTALLY</h4>,WOMEN,active,2018,61.12.41.00.00,2171SFH02_yellow
2178SUN02,3 Level Product Style,2178SUN02,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>SONNY AND CHER</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Underwire top<br/>With molded cups<br/>Adjustable at shoulders and back<br/>Full coverage at front<br/>Made in Colombia</p>,SONNY AND CHER,"Underwire top
With molded cups
Adjustable at shoulders and back
Full coverage at front
Made in Colombia",,,Our model wears a Colombian size Small,,,Colombia,HIGH SUMMER 2027,COLOMBIA,WOMENS TOPSWIMWEAR ONEPIECE 82%NYLON 9%POLYESTER 7%SPANDEX 1%LYCRA 1%COTTON KNIT,YELLOW,SWIMWEAR,<h4>SONNY AND CHER</h4>,WOMEN,active,2018,61.12.41.00.00,2178SUN02_yellow
