lv1_code,product_class_name,name,status,brand,attribute.country_of_origin.string,attribute.co_online.boolean,attribute.us_online.boolean,category.1.path,category.1.category_set,category.2.path,category.2.category_set,category.3.path,category.3.category_set,category.4.path,category.4.category_set,category.5.path,category.5.category_set,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.dw_size_code.single_option,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,attribute.saya_color.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1259XBP01,Single Level Product Style,1259XBP01,active,Maaji,Colombia,1,1,ACCESORIOS > BOLSOS Y MALETINES,Maaji_CO,ACCESSORIES > BAGS,default,ACCESSORIES > BAGS,Maaji_AU,ACCESSORIES > BAGS,Maaji_EUR,ACCESSORIES > BAGS,Maaji_US,"Entrega
Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>PRIMAVERA SPORT PACK</h4>,TALLA ÚNICA,"<p>No remojar, no planchar, no usar jabones con decolorante</p>","<p>Morral empacable en tela delgada, ideal para viajar</p>",PRIMAVERA SPORT PACK,"Morral empacable en tela delgada, ideal para viajar",,,,,,SPRING 2018,COLOMBIA,100% POLIÉSTER,GRIS,ACCESORIOS,PRIMAVERA SPORT PACK,MUJERES,active,2018,42.02.92.00.00,https://res.cloudinary.com/maaji/image/upload/v1519911158/Spring2018/1259XBP01_white_9.jpg,1259XBP01_white_9,yes,,,,,,,,,,,,,blanco,7702781011116,TALLA ÚNICA,70000,COP Price
1260XVR01,Single Level Product Style,1260XVR01,active,Maaji,Colombia,1,1,ACCESORIOS > BOLSOS Y MALETINES,Maaji_CO,ACCESSORIES > BAGS,default,ACCESSORIES > BAGS,Maaji_AU,ACCESSORIES > BAGS,Maaji_EUR,ACCESSORIES > BAGS,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>MAAJICAL SPORT BAG</h4>,TALLA ÚNICA,"<p>No remojar, no planchar, no usar jabones con decolorante</p>","<p>Tula deportiva doble faz con bolsillos tanto en el lado sólido como en el estampado, mosquetones removibles</p>",MAAJICAL SPORT BAG,"Tula deportiva doble faz con bolsillos tanto en el lado sólido como en el estampado, mosquetones removibles",,,,,,SPRING 2018,COLOMBIA,100% POLIÉSTER,VERDE,ACCESORIOS,MAAJICAL SPORT BAG,MUJERES,active,2018,42.02.92.00.00,https://res.cloudinary.com/maaji/image/upload/v1519911260/Spring2018/1260XVR01_gray_9.jpg,1260XVR01_gray_9,yes,https://res.cloudinary.com/maaji/image/upload/v1519742169/Spring2018/1260XVR01_gray_10.jpg,1260XVR01_gray_10,,,,,,,,,,,gris,7702781012625,TALLA ÚNICA,85000,COP Price
1228XWK02,Single Level Product Style,1228XWK02,active,Maaji,Colombia,1,1,ACCESORIOS > BOLSOS Y MALETINES,Maaji_CO,ACCESSORIES > BAGS,default,ACCESSORIES > BAGS,Maaji_AU,ACCESSORIES > BAGS,Maaji_EUR,ACCESSORIES > BAGS,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>PALMY CONVERTIBLE WEEKENDER BAG</h4>,TALLA ÚNICA,"<p>No remojar, no planchar, no usar jabones con decolorante</p>","<p>Maletín con cierre convertible, con dos bolsillos</p>",PALMY CONVERTIBLE WEEKENDER BAG,"Maletín con cierre convertible, con dos bolsillos",,,,,,SPRING 2018,COLOMBIA,100% POLIÉSTER,AZUL,ACCESORIOS,PALMY CONVERTIBLE WEEKENDER BAG,MUJERES,active,2018,42.02.92.00.00,https://res.cloudinary.com/maaji/image/upload/v1519742775/Spring2018/1228XWK02_blue_9.jpg,1228XWK02_blue_9,yes,https://res.cloudinary.com/maaji/image/upload/v1519742773/Spring2018/1228XWK02_blue_10.jpg,1228XWK02_blue_10,,,,,,,,,,,azul,7702781007607,TALLA ÚNICA,221000,COP Price
1218XTW02,Single Level Product Style,1218XTW02,active,Maaji,Colombia,1,1,ACCESORIOS > MANTAS DE PLAYA,Maaji_CO,ACCESSORIES > BEACH COVER,default,ACCESSORIES > BEACH COVER,Maaji_AU,ACCESSORIES > BEACH COVER,Maaji_EUR,ACCESSORIES > BEACH COVER,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>PALMY GYM TOWEL</h4>,TALLA ÚNICA,"<p>No remojar, no planchar, no usar jabones con decolorante</p>",<p>Toalla rectangular doble faz con elástico para amarre</p>,PALMY GYM TOWEL,Toalla rectangular doble faz con elástico para amarre,,,,,,SPRING 2018,COLOMBIA,100% POLIÉSTER,AZUL,ACCESORIOS,PALMY GYM TOWEL,MUJERES,active,2018,63.02.93.00.00,https://res.cloudinary.com/maaji/image/upload/v1519743295/Spring2018/1218XTW02_blue_9.jpg,1218XWT02_blue_9,yes,,,,,,,,,,,,,azul,7702781007997,TALLA ÚNICA,80000,COP Price
1219XPK02,Single Level Product Style,1219XPK02,active,Maaji,Colombia,1,1,ACCESORIOS > COSMETIQUERAS Y SOBRES,Maaji_CO,ACCESSORIES > COSMETICS AND ENVELOPES,default,ACCESSORIES > COSMETICS AND ENVELOPES,Maaji_AU,ACCESSORIES > COSMETICS AND ENVELOPES,Maaji_EUR,ACCESSORIES > COSMETICS AND ENVELOPES,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>PALMY DOPP KIT</h4>,TALLA ÚNICA,"<p>No remojar, no planchar, no usar jabones con decolorante</p>","<p>Bolsa de viaje para zapatos y/o cosméticos, con cargadera lateral para llevarla y bolsillo externo para objetos pequeños</p>",PALMY DOPP KIT,"Bolsa de viaje para zapatos y/o cosméticos, con cargadera lateral para llevarla y bolsillo externo para objetos pequeños",,,,,,SPRING 2018,COLOMBIA,81% POLIÉSTER 12% NYLON 7% SPANDEX,AZUL,ACCESORIOS,PALMY DOPP KIT,MUJERES,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1519743771/Spring2018/1219XPK02_blue_9.jpg,1219XPK_blue_9,yes,,,,,,,,,,,,,azul,7702781007584,TALLA ÚNICA,47000,COP Price
1223XPK02,Single Level Product Style,1223XPK02,active,Maaji,Colombia,1,1,ACCESORIOS > COSMETIQUERAS Y SOBRES,Maaji_CO,ACCESSORIES > COSMETICS AND ENVELOPES,default,ACCESSORIES > COSMETICS AND ENVELOPES,Maaji_AU,ACCESSORIES > COSMETICS AND ENVELOPES,Maaji_EUR,ACCESSORIES > COSMETICS AND ENVELOPES,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>BUCKET COSMETIC BAG</h4>,TALLA ÚNICA,"<p>No remojar, no planchar, no usar jabones con decolorante</p>","<p>Organizador de viaje con capacidad para objetos de aseo personal, cordón para cerrarlo y reata para colgarlo fácilmente</p>",BUCKET COSMETIC BAG,"Organizador de viaje con capacidad para objetos de aseo personal, cordón para cerrarlo y reata para colgarlo fácilmente",,,,,,SPRING 2018,COLOMBIA,86% POLIÉSTER 14% SPANDEX,MULTICOLOR,ACCESORIOS,BUCKET COSMETIC BAG,MUJERES,active,2018,42.02.12.10.00,https://res.cloudinary.com/maaji/image/upload/v1519744371/Spring2018/1223XPK02_assorted_9.jpg,1223XPK02_assorted_9,yes,,,,,,,,,,,,,multicolor,7702781007614,TALLA ÚNICA,47000,COP Price
1225XHA02,Single Level Product Style,1225XHA02,active,Maaji,Colombia,1,1,ACCESORIOS > GORROS Y VISERAS,Maaji_CO,ACCESSORIES > CAPS AND VISORS,default,ACCESSORIES > CAPS AND VISORS,Maaji_AU,ACCESSORIES > CAPS AND VISORS,Maaji_EUR,ACCESSORIES > CAPS AND VISORS,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>TURBAN</h4>,TALLA ÚNICA,"<p>No remojar, no planchar, no usar jabones con decolorante</p>",<p>Turbante ancho con trenza inferior</p>,TURBAN,Turbante ancho con trenza inferior,,,,,,SPRING 2018,COLOMBIA,86% POLIÉSTER 14% SPANDEX,MULTICOLOR,ACCESORIOS,TURBAN,MUJERES,active,2018,61.17.80.90.00,https://res.cloudinary.com/maaji/image/upload/v1519744701/Spring2018/1225XHA02_assorted_9.jpg,1225XHA02_assorted_9,yes,,,,,,,,,,,,,multicolor,7702781009731,TALLA ÚNICA,30000,COP Price
1216XHA02,Single Level Product Style,1216XHA02,active,Maaji,Colombia,1,1,ACCESORIOS > GORROS Y VISERAS,Maaji_CO,ACCESSORIES > CAPS AND VISORS,default,ACCESSORIES > CAPS AND VISORS,Maaji_AU,ACCESSORIES > CAPS AND VISORS,Maaji_EUR,ACCESSORIES > CAPS AND VISORS,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>SKINNY HEADBANDS</h4>,TALLA ÚNICA,"<p>No remojar, no planchar, no usar jabones con decolorante</p>",<p>Kit de dos balacas con trenzas</p>,SKINNY HEADBANDS,Kit de dos balacas con trenzas,,,,,,SPRING 2018,COLOMBIA,86% POLIÉSTER 14% SPANDEX,MULTICOLOR,ACCESORIOS,SKINNY HEADBANDS,MUJERES,active,2018,61.17.80.90.00,https://res.cloudinary.com/maaji/image/upload/v1519745330/Spring2018/1216XHA02_assorted_9.jpg,1216XHA02_assorted_9,yes,,,,,,,,,,,,,multicolor,7702781007782,TALLA ÚNICA,25000,COP Price
1466CPR01,Single Level Product Style,1466CPR01,active,Maaji,Colombia,1,1,ROPA DE PLAYA > PAREOS,Maaji_CO,COVER UPS > PAREOS,default,COVER UPS > PAREOS,Maaji_AU,COVER UPS > PAREOS,Maaji_EUR,COVER UPS > PAREOS,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>TRUMPETFISH</h4>,TALLA ÚNICA,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre.</p>,<p>Pareo cuadrados <br/>Detalle de puntadas en el ruedo</p>,TRUMPETFISH ,Pareo cuadrados Detalle de puntadas en el ruedo,,,,,,SPRING 2018,COLOMBIA,100% ALGODÓN TEJÍDO,ROJO,ROPA DE PLAYA,TRUMPETFISH,MUJERES,active,2018,62.17.10.00.00,https://res.cloudinary.com/maaji/image/upload/v1519912764/Spring2018/1466CPR01_red_1.jpg,1466CPR01_red_1,yes,https://res.cloudinary.com/maaji/image/upload/v1519912760/Spring2018/1466CPR01_red_3.jpg,1466CPR01_red_3,,https://res.cloudinary.com/maaji/image/upload/v1519912769/Spring2018/1466CPR01_red_5.jpg,1466CPR01_red_5,,https://res.cloudinary.com/maaji/image/upload/v1519912763/Spring2018/1466CPR01_red_7.jpg,1466CPR01_red_7,,,,,red,7702781001520,TALLA ÚNICA,147000,COP Price
1390CKI01,Single Level Product Style,1390CKI01,active,Maaji,Colombia,1,1,ROPA DE PLAYA > PAREOS,Maaji_CO,COVER UPS > PAREOS,default,COVER UPS > PAREOS,Maaji_AU,COVER UPS > PAREOS,Maaji_EUR,COVER UPS > PAREOS,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a COP $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",<h4>SEA STARS</h4>,TALLA ÚNICA,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre.</p>,<p>Kimono.<br/>Manga hasta la mitad.<br/>Detalle decorativo  en  ruedo frente</p>,SEA STARS,"Kimono.
Manga hasta la mitad.
Detalle decorativo  en  ruedo frente",,,,,,SPRING 2018,COLOMBIA,KIMONO 100% NYLON,NEGRO,ROPA DE PLAYA,SEA STARS,MUJERES,active,2018,61.14.30.00.00,https://res.cloudinary.com/maaji/image/upload/v1519914036/Spring2018/1390CKI01_purple_3.jpg,1390CKI01_purple_3,yes,https://res.cloudinary.com/maaji/image/upload/v1519914036/Spring2018/1390CKI01_purple_4.jpg,1390CKI01_purple_4,,,,,,,,,,,morado,7702781007232,TALLA ÚNICA,170000,COP Price
