lv1_code,product_class_name,name,status,brand,attribute.country_of_origin.string,attribute.co_online.boolean,attribute.us_online.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.dw_size_code.single_option,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,attribute.saya_color.single_option,attribute.saya_size.single_option
1259xbp01_blanco_os,Single Level Product Style,1259XBP01 BLANCO OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>PRIMAVERA SPORT PACK</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Packable backpack in light fabric, ideal for traveling</p>",PRIMAVERA SPORT PACK,"Packable backpack in light fabric, ideal for traveling",,,,,,SPRING 2018,COLOMBIA,,,,PRIMAVERA SPORT PACK,,active,2018,42.02.92.00.00,,
1260xvr01_gris_os,Single Level Product Style,1260XVR01 GRIS OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>MAAJICAL SPORT BAG</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Sport reversible bag with pockets, on solid color side and on printed side, removable snaps</p>",MAAJICAL SPORT BAG,"Sport reversible bag with pockets, on solid color side and on printed side, removable snaps",,,,,,SPRING 2018,COLOMBIA,,,,MAAJICAL SPORT BAG,,active,2018,42.02.92.00.00,,
1228xwk02_azul_os,Single Level Product Style,1228XWK02 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>PALMY CONVERTIBLE WEEKENDER BAG</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Duffle bag with zipper to convert it, with two pockets</p>",PALMY CONVERTIBLE WEEKENDER BAG,"Duffle bag with zipper to convert it, with two pockets",,,,,,SPRING 2018,COLOMBIA,,,,PALMY CONVERTIBLE WEEKENDER BAG,,active,2018,42.02.92.00.00,,
1218xtw02_azul_os,Single Level Product Style, 1218XTW02 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>PALMY GYM TOWEL</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Rectangular duplex towell with elastic band to envelope</p>,PALMY GYM TOWEL,Rectangular duplex towell with elastic band to envelope,,,,,,SPRING 2018,COLOMBIA,,,,PALMY GYM TOWEL,,active,2018,63.02.93.00.00,,
1219xpk02_azul_os,Single Level Product Style,1219XPK02 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>PALMY DOPP KIT</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Shoe or cosmetic travel pocket with side strap to keep it and outside pocket to save little stuff</p>,PALMY DOPP KIT,Shoe or cosmetic travel pocket with side strap to keep it and outside pocket to save little stuff,,,,,,SPRING 2018,COLOMBIA,,,,PALMY DOPP KIT,,active,2018,42.02.32.00.00,,
1223xpk02_multicolor_os,Single Level Product Style,1223XPK02 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>BUCKET COSMETIC BAG</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Travel organizer with capacity to keep personal cleanliness, drawstring to close it and strap to hold it</p>",BUCKET COSMETIC BAG,"Travel organizer with capacity to keep personal cleanliness, drawstring to close it and strap to hold it",,,,,,SPRING 2018,COLOMBIA,,,,BUCKET COSMETIC BAG,,active,2018,42.02.12.10.00,,
1225xha02_multicolor_os,Single Level Product Style,1225XHA02 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>TURBAN</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Width turban with braids</p>,TURBAN,Width turban with braids,,,,,,SPRING 2018,COLOMBIA,,,,TURBAN,,active,2018,61.17.80.90.00,,
1216xha02_multicolor_os,Single Level Product Style,1216XHA02 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SKINNY HEADBANDS</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Two headbands kit</p>,SKINNY HEADBANDS,Two headbands kit,,,,,,SPRING 2018,COLOMBIA,,,,SKINNY HEADBANDS,,active,2018,61.17.80.90.00,,
1466cpr01_red_os,Single Level Product Style,1466CPR01 RED OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>TRUMPETFISH</h4>,,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Squeare pareos <br/>Stitch detail at hem</p>,TRUMPETFISH ,"Squeare pareos. 
Stitch detail at hem",,,,,,SPRING 2018,COLOMBIA,,,,TRUMPETFISH,,active,2018,62.17.10.00.00,,
1390cki01_morado_os,Single Level Product Style,1390CKI01 MORADO OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SEA STARS</h4>,,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Kimono<br/>Middle sleeve</p>,SEA STARS,"Kimono.
Middle sleeve",,,,,,SPRING 2018,COLOMBIA,,,,SEA STARS,,active,2018,61.14.30.00.00,,
