lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.keywords.string,attribute.page_url.string,attribute.size_fit.text,attribute.tax_class.string,attribute.short_description.html,category.1.path,category.1.category_set,category.2.path,category.2.category_set,category.3.path,category.3.category_set,category.4.path,category.4.category_set,category.5.path,category.5.category_set,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
1049TSS04,3 Level Product Style,1049TSS04,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",BEACH REPEAT,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente.<br/> No usar vinagre</p>,"<p>Sport Short: cintura elástica con cordón ajustable. <br/>Hecho en microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. <br/>La tecnología de secado rápido permite que la húmedad se repele del cuerpo con control de húmedad y temperatura.</P>",BEACH REPEAT,"Sport Short: cintura elástica con cordón ajustable. La microfibra Premium, hecha con un mayor número de hilos, le da un toque más lujoso. La tecnología de secado rápido permite que la humedad se repele del cuerpo con control de humedad y temperatura.",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,PANTALONETAS,Maaji_CO,MEN SWIM TRUNKS,default,MEN SWIM TRUNKS,Maaji_AU,MEN SWIM TRUNKS,Maaji_EUR,MEN SWIM TRUNKS,Maaji_US,Colombia,SUMMER 2018,COLOMBIA,75% POLIÉSTER 24% NYLON 1% PUNTO POLIETILENO,N/A,PANTALONETAS,BEACH REPEAT,HOMBRES,active,2018,6203430000,1049TSS04_blue
1049TSS03,3 Level Product Style,1049TSS03,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",JOY QUEST,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre.</p>,"<p>Sport Short: cintura elástica con cordón ajustable. <br/>Hecho en microfibra, hecha con un mayor número de hilos, le da un toque más lujoso.<br/> La tecnología de secado rápido permite que la húmedad se repele del cuerpo con control de húmedad y temperatura.</p> ",JOY QUEST,"Sport Short: cintura elástica con cordón ajustable. Hecho en microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. La tecnología de secado rápido permite que la humedad se repele del cuerpo con control de humedad y temperatura.",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,PANTALONETAS,Maaji_CO,MEN SWIM TRUNKS,default,MEN SWIM TRUNKS,Maaji_AU,MEN SWIM TRUNKS,Maaji_EUR,MEN SWIM TRUNKS,Maaji_US,Colombia,SUMMER 2018,COLOMBIA,75% POLIÉSTER 24% NYLON 1% PUNTO POLIETILENO,N/A,PANTALONETAS,JOY QUEST,HOMBRES,active,2018,6203430000,1049TSS03_green
1049TSS02,3 Level Product Style,1049TSS02,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",CHASING THE WILD,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre.</p>,"<p>Sport Short: cintura elástica con cordón ajustable. <br/>Hecho en microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. <br/>La tecnología de secado rápido permite que la húmedad se repele del cuerpo con control de húmedad y temperatura.</P>",CHASING THE WILD,"Sport Short: cintura elástica con cordón ajustable. Hecho en microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. La tecnología de secado rápido permite que la humedad se repele del cuerpo con control de humedad y temperatura.",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,PANTALONETAS,Maaji_CO,MEN SWIM TRUNKS,default,MEN SWIM TRUNKS,Maaji_AU,MEN SWIM TRUNKS,Maaji_EUR,MEN SWIM TRUNKS,Maaji_US,Colombia,SUMMER 2018,COLOMBIA,75% POLIÉSTER 24% NYLON 1% PUNTO POLIETILENO,N/A,PANTALONETAS,CHASING THE WILD,HOMBRES,active,2018,6203430000,1049TSS02_red
1046TSF04,3 Level Product Style,1046TSF04,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",SEEK THE SEA,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre.</p>,"<p>Surf Short: Pretina anatomica con microfibra Premium, hecha con un mayor número de hilos, le da un toque más lujoso. <br/>La tecnología de secado rápido permite que la húmedad se repele del cuerpo con control de húmedad y temperatura.</p>",SEEK THE SEA,"Surf Short: Pretina anatomica con microfibra Premium, hecha con un mayor número de hilos, le da un toque más lujoso. La tecnología de secado rápido permite que la humedad se repele del cuerpo con control de humedad y temperatura.",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,PANTALONETAS,Maaji_CO,MEN SWIM TRUNKS,default,MEN SWIM TRUNKS,Maaji_AU,MEN SWIM TRUNKS,Maaji_EUR,MEN SWIM TRUNKS,Maaji_US,Colombia,SUMMER 2018,COLOMBIA,91% POLIÉSTER 7% NYLON 1% POLIETILENO 1% ACRILICO TEJIDO,N/A,PANTALONETAS,SEEK THE SEA,HOMBRES,active,2018,6203430000,1046TSF04_wine
1046TSF03,3 Level Product Style,1046TSF03,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",SANDED MULTICOLOR,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre.</p>,"<p>Surf Short: Pretina anatomica con microfibra Premium, hecha con un mayor número de hilos, le da un toque más lujoso. <br/>La tecnología de secado rápido permite que la humedad se repele del cuerpo con control de humedad y temperatura.</p>",SANDED MULTICOLOR,"Surf Short: Pretina anatomica con microfibra Premium, hecha con un mayor número de hilos, le da un toque más lujoso. La tecnología de secado rápido permite que la humedad se repele del cuerpo con control de humedad y temperatura.",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,PANTALONETAS,Maaji_CO,MEN SWIM TRUNKS,default,MEN SWIM TRUNKS,Maaji_AU,MEN SWIM TRUNKS,Maaji_EUR,MEN SWIM TRUNKS,Maaji_US,Colombia,SUMMER 2018,COLOMBIA,91% POLIÉSTER 7% NYLON 1% POLIÉTILENO 1% ACRILICO TEJIDO,N/A,PANTALONETAS,SANDED MULTICOLOR,HOMBRES,active,2018,6203430000,1046TSF03_blue
1042TRS03,3 Level Product Style,1042TRS03,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",SPEECHLESS,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre.</p>,"<p>Sport Short: cintura elástica con cordón ajustable. Hecho en microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. <br/>La tecnología de secado rápido permite que la húmedad se repele del cuerpo con control de húmedad y temperatura.</p> ",SPEECHLESS,"Sport Short: cintura elástica con cordón ajustable. Hecho en microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. La tecnología de secado rápido permite que la humedad se repele del cuerpo con control de humedad y temperatura.",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,PANTALONETAS,Maaji_CO,MEN SWIM TRUNKS,default,MEN SWIM TRUNKS,Maaji_AU,MEN SWIM TRUNKS,Maaji_EUR,MEN SWIM TRUNKS,Maaji_US,Colombia,SUMMER 2018,COLOMBIA,98% POLIÉSTER 1% POLIETILENO 1% ACRILICO TEJIDO,N/A,PANTALONETAS,SPEECHLESS,HOMBRES,active,2018,6203430000,1042TRS03_red
1042TRS02,3 Level Product Style,1042TRS02,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",BLUE SKY BLUE,<pPreferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperatura.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre.</p>,"<p>Sport Short: cintura elástica con cordón ajustable. Hecho en microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. <br/>La tecnología de secado rápido permite que la húmedad se repele del cuerpo con control de húmedad y temperatura.</p>",BLUE SKY BLUE,"Sport Short: cintura elástica con cordón ajustable. Hecho en microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. La tecnología de secado rápido permite que la humedad se repele del cuerpo con control de humedad y temperatura.",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,PANTALONETAS,Maaji_CO,MEN SWIM TRUNKS,default,MEN SWIM TRUNKS,Maaji_AU,MEN SWIM TRUNKS,Maaji_EUR,MEN SWIM TRUNKS,Maaji_US,Colombia,SUMMER 2018,COLOMBIA,98% POLIÉSTER 1% POLIETILENO 1% ACRILICO TEJIDO,N/A,PANTALONETAS,BLUE SKY BLUE,HOMBRES,active,2018,6203430000,1042TRS02_blue
1041TBS03,3 Level Product Style,1041TBS03,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",SOULIOURNER,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre.</p>,"<p>Board Short: Cómoda cintura elástica con cordón ajustable.<br/>En microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. <br/>La tecnología de secado rápido permite que la húmedad se repele del cuerpo con control de húmedad y temperatura.</p>",SOULIOURNER,"Board Short: Cómoda cintura elástica con cordón ajustable.En microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. La tecnología de secado rápido permite que la humedad se repele del cuerpo con control de humedad y temperatura.

",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,PANTALONETAS,Maaji_CO,MEN SWIM TRUNKS,default,MEN SWIM TRUNKS,Maaji_AU,MEN SWIM TRUNKS,Maaji_EUR,MEN SWIM TRUNKS,Maaji_US,Colombia,SUMMER 2018,COLOMBIA,91% POLIÉSTER 7% NYLON 1% POLIETILENO 1% ACRILICO TEJIDO,N/A,PANTALONETAS,SOULIOURNER,HOMBRES,active,2018,6203430000,1041TBS03_green
1041TBS02,3 Level Product Style,1041TBS02,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",OCEANAHOLIC,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre.</p>,"<p>Board Short: Cómoda cintura elástica con cordón ajustable.<br/>En microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. <br/>La tecnología de secado rápido permite que la húmedad se repele del cuerpo con control de húmedad y temperatura.<p>",OCEANAHOLIC,"Board Short: Cómoda cintura elástica con cordón ajustable.En microfibra, hecha con un mayor número de hilos, le da un toque más lujoso. La tecnología de secado rápido permite que la humedad se repele del cuerpo con control de humedad y temperatura.",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,PANTALONETAS,Maaji_CO,MEN SWIM TRUNKS,default,MEN SWIM TRUNKS,Maaji_AU,MEN SWIM TRUNKS,Maaji_EUR,MEN SWIM TRUNKS,Maaji_US,Colombia,SUMMER 2018,COLOMBIA,91% POLIÉSTER 7% NYLON 1% POLIETILENO 1% ACRILICO TEJIDO,N/A,PANTALONETAS,OCEANAHOLIC,HOMBRES,active,2018,6203430000,1041TBS02_red
1038TSL03,3 Level Product Style,1038TSL03,active,Maaji,0,0,,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envío GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",ADMIRABLE LANDSCAPE,<p>Preferiblemente lavar a mano y con jabon suave.<br/>No lavar a altas temperaturas.<br/>No usar lavado en seco.<br/>No retorcer para escurrir.<br/>Lavar al revés.<br/>No usar blanqueador.<br/>No lavar en agua caliente. <br/>No usar vinagre.</p>,"<p>Embroidery Short: Delantero bordado, espalda sólida con cordón ajustable. <br/>Tela Premium con toque de lujo.</p>  ",ADMIRABLE LANDSCAPE,"Embroidery Short: Delantero bordado, espalda sólida con cordón ajustable. Tela Premium con toque de lujo.",,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,,PANTALONETAS,Maaji_CO,MEN SWIM TRUNKS,default,MEN SWIM TRUNKS,Maaji_AU,MEN SWIM TRUNKS,Maaji_EUR,MEN SWIM TRUNKS,Maaji_US,Colombia,SUMMER 2018,COLOMBIA,97% NYLON 1% POLIÉSTER 1% ACRILICO 1% POLIETILENO TEJIDO,N/A,PANTALONETAS,ADMIRABLE LANDSCAPE,HOMBRES,active,2018,6203430000,1038TSL03_red
