lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_tariff_code.string,variation_children_code
JUNEBERRY FLIRT,4 Level Product Style,JUNEBERRY FLIRT,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",<h4>JUNEBERRY FLIRT</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise<br/>Moderate coverage <br/>Made in Colombia</p>,JUNEBERRY FLIRT,"Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Ours model wears an Colombian Size SMALL,,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,RED,SWIMWEAR,<h4>JUNEBERRY FLIRT</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523894971/Spring2018/3039SBC02_3039SDC02_purple_1.jpg,3039SBC02_purple_1,,https://res.cloudinary.com/maaji/image/upload/v1523894972/Spring2018/3039SBC02_3039SDC02_purple_2.jpg,3039SBC02_purple_2,,https://res.cloudinary.com/maaji/image/upload/v1523894972/Spring2018/3039SBC02_3039SDC02_purple_5.jpg,3039SBC02_purple_5,,https://res.cloudinary.com/maaji/image/upload/v1523894973/Spring2018/3039SBC02_3039SDC02_purple_6.jpg,3039SBC02_purple_6,,,,,,,,61.12.41.00.00,3039SBC02|3039SDC02
ROSE VELVET,4 Level Product Style,ROSE VELVET,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",<h4>ROSE VELVET</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Low Rise <br/>Moderate coverage <br/>Made in Colombia</p>,ROSE VELVET,"Reversible
Low Rise 
Moderate coverage 
Made in Colombia",,,,Ours model wears an Colombian Size SMALL,,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,RED,SWIMWEAR,<h4>ROSE VELVET</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523895628/Spring2018/1930SBC01_1930SCC01_purple_1.jpg,1930SBC01_purple_1,,https://res.cloudinary.com/maaji/image/upload/v1523895625/Spring2018/1930SBC01_1930SCC01_purple_2.jpg,1930SBC01_purple_2,,,,,,,,,,,,,,61.12.41.00.00,1930SBC01|1930SCC01
CUMBIA SOCIETY,4 Level Product Style,CUMBIA SOCIETY,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",<h4>CUMBIA SOCIETY</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Bralette top<br/>Removable soft pads<br/>Pullover<br/>Fixed criss cross back<br/>Full coverage at front<br/>Made in Colombia</p>,CUMBIA SOCIETY,"Reversible
Bralette top
Removable soft pads
Pullover
Fixed criss cross back
Full coverage at front
Made in Colombia",,,,Ours model wears an Colombian Size SMALL,,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,RED,SWIMWEAR,<h4>CUMBIA SOCIETY</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523896055/Spring2018/2110SBC01_2110SDC01_purple_1.jpg,2110SBC01_purple_1,,https://res.cloudinary.com/maaji/image/upload/v1523896056/Spring2018/2110SBC01_2110SDC01_purple_2.jpg,2110SBC01_purple_2,,,,,,,,,,,,,,61.12.41.00.00,2110SBC01|2110SDC01
CINNAMON ATTILA,4 Level Product Style,CINNAMON ATTILA,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",<h4>CINNAMON ATTILA</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Adjustable at sides<br/>Low Rise <br/>Moderate coverage<br/>Made in Colombia</p>,CINNAMON ATTILA,"Reversible
Adjustable at sides
Low Rise 
Moderate coverage 
Made in Colombia",,,,Ours model wears an Colombian Size SMALL,,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,RED,SWIMWEAR,<h4>CINNAMON ATTILA</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523896462/Spring2018/2114SBC01_2114SCC01_purple_1.jpg,2114SBC01_purple_1,,https://res.cloudinary.com/maaji/image/upload/v1523896463/Spring2018/2114SBC01_2114SCC01_purple_2.jpg,2114SBC01_purple_2,,,,,,,,,,,,,,61.12.41.00.00,2114SBC01|2114SCC01
CINNAMON SUNNY,4 Level Product Style,CINNAMON SUNNY,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",<h4>CINNAMON SUNNY</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Ties at sides<br/>Low Rise<br/>Moderate coverage <br/>Made in Colombia</p>,CINNAMON SUNNY,"Reversible
Ties at sides
Low Rise 
Moderate coverage 
Made in Colombia",,,,Ours model wears an Colombian Size SMALL,,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,RED,SWIMWEAR,<h4>CINNAMON SUNNY</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523896883/Spring2018/3044SBC01_3044SCC01_red_1.jpg,3044SBC01_red_1,,https://res.cloudinary.com/maaji/image/upload/v1523896882/Spring2018/3044SBC01_3044SCC01_red_2.jpg,3044SBC01_red_2,,https://res.cloudinary.com/maaji/image/upload/v1523896883/Spring2018/3044SBC01_3044SCC01_red_5.jpg,3044SBC01_red_5,,https://res.cloudinary.com/maaji/image/upload/v1523896883/Spring2018/3044SBC01_3044SCC01_red_6.jpg,3044SBC01_red_6,,,,,,,,61.12.41.00.00,3044SBC01|3044SCC01
ARUSI MERLOT,4 Level Product Style,ARUSI MERLOT,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",<h4>ARUSI MERLOT</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Low Rise<br/>Full coverage<br/>Made in Colombia</p>,ARUSI MERLOT,"Reversible
Low Rise 
Full coverage 
Made in Colombia",,,,Ours model wears an Colombian Size SMALL,,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,RED,SWIMWEAR,<h4>ARUSI MERLOT</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523897329/Spring2018/2120SAC01_2120SBC01_purple_1.jpg,2120SAC01_purple_1,,https://res.cloudinary.com/maaji/image/upload/v1523897329/Spring2018/2120SAC01_2120SBC01_purple_2.jpg,2120SAC01_purple_2,,,,,,,,,,,,,,61.12.41.00.00,2120SAC01|2120SBC01
BRISTLE GARDENS,4 Level Product Style,BRISTLE GARDENS,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",<h4>BRISTLE GARDENS</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Ties at sides<br/>Low Rise<br/>Moderate coverage<br/>Made in Colombia</p>,BRISTLE GARDENS,"Reversible
Ties at sides
Low Rise 
Moderate coverage 
Made in Colombia",,,,Ours model wears an Colombian Size SMALL,,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,RED,SWIMWEAR,<h4>BRISTLE GARDENS</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523897632/Spring2018/2116SBC01_2116SDC01_purple_1.jpg,2116SBC01_purple_1,,https://res.cloudinary.com/maaji/image/upload/v1523897633/Spring2018/2116SBC01_2116SDC01_purple_2.jpg,2116SBC01_purple_2,,,,,,,,,,,,,,61.12.41.00.00,2116SBC01|2116SDC01
ANDES FOLIAGE,4 Level Product Style,ANDES FOLIAGE,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",<h4>ANDES FOLIAGE</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Low Rise <br/>Full coverage<br/>Made in Colombia</p>,ANDES FOLIAGE,"Reversible
Low Rise 
Full coverage 
Made in Colombia",,,,Ours model wears an Colombian Size SMALL,,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,BLUE,SWIMWEAR,<h4>ANDES FOLIAGE</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523897944/Spring2018/2047SAC02_2047SBC02_blue_1.jpg,2047SAC02_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1523897944/Spring2018/2047SAC02_2047SBC02_blue_2.jpg,2047SAC02_blue_2,,,,,,,,,,,,,,61.12.41.00.00,2047SAC02|2047SBC02
STARGAZER CASCADE,4 Level Product Style,STARGAZER CASCADE,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",<h4>STARGAZER CASCADE</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>High leg cut<br/>Less coverage at rear<br/>Made in Colombia</p>,STARGAZER CASCADE,"Reversible
Seamless
High leg cut
Less coverage at rear
Made in Colombia",,,,Ours model wears an Colombian Size SMALL,,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,BLUE,SWIMWEAR,<h4>STARGAZER CASCADE</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523900532/Spring2018/3008SCC01_blue_1.jpg,3008SCC01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1523900530/Spring2018/3008SCC01_blue_2.jpg,3008SCC01_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1523900530/Spring2018/3008SCC01_blue_5.jpg,3008SCC01_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1523900531/Spring2018/3008SCC01_blue_6.jpg,3008SCC01_blue_6,,,,,,,,61.12.41.00.00,3008SCC01
STARGAZER ORNATE,4 Level Product Style,STARGAZER ORNATE,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders<br/>
under COP $250.000 will incur a shipping fee.<br/>
Delivery times are dependent on your location but are typically 2-3<br/> 
working days. Regional areas outside of metro areas, typically add<br/>
an additional day to delivery estimates. <br/><br/>

<b>Returns</b>
<br>Returns and exchanges are accepted on merchandise within 30<br/> 
days of receipt. The product must be returned in original condition. Worn, washed<br/>
or otherwise used products will not be accepted. All products must also have the<br/> 
original tags and hygienic protection sticker intact. Original shipping charges will not <br/>
be refunded unless the return items are deemed defective. Our Returns Policy is in<br/>
addition to your rights under the Colombian Consumer Law.</p>",<h4>STARGAZER ORNATE</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low rise<br/>Ruffle detail at sides<br/>Moderate coverage<br/>Made in Colombia</p>,STARGAZER ORNATE,"Reversible
Seamless
Low rise
Ruffle detail at sides
Moderate coverage
Made in Colombia",,,,Ours model wears an Colombian Size SMALL,,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 88% NYLON 12% SPANDEX KNIT,BLUE,SWIMWEAR,<h4>STARGAZER ORNATE</h4>,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1524056105/Spring2018/3052SBC01_3052SDC01_blue_1.jpg,3052SBC01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1524056105/Spring2018/3052SBC01_3052SDC01_blue_2.jpg,3052SBC01_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1524056106/Spring2018/3052SBC01_3052SDC01_blue_5.jpg,3052SBC01_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1524056106/Spring2018/3052SBC01_3052SDC01_blue_6.jpg,3052SBC01_blue_6,,,,,,,,61.12.41.00.00,3052SBC01|3052SDC01
