lv1_code,product_class_name,name,status,brand,attribute.country_of_origin.string,attribute.co_online.boolean,attribute.us_online.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.dw_size_code.single_option,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,attribute.saya_color.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1259XBP01,Single Level Product Style,1259XBP01,active,Maaji,Colombia,1,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>PRIMAVERA SPORT PACK</h4>,ONE SIZE,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Packable backpack in light fabric, ideal for traveling</p>",PRIMAVERA SPORT PACK,"Packable backpack in light fabric, ideal for traveling",,,,,,SPRING 2018,COLOMBIA,WOMENS TRAVEL BACKPACK 100% POLYESTER WOVEN,GRAY,ACCESORIES,PRIMAVERA SPORT PACK,WOMEN,active,2018,42.02.92.00.00,https://res.cloudinary.com/maaji/image/upload/v1519911158/Spring2018/1259XBP01_white_9.jpg,1259XBP01_white_9,yes,,,,,,,,,,,,,white,7702781011116,ONE SIZE,70000,COP Price
1260XVR01,Single Level Product Style,1260XVR01,active,Maaji,Colombia,1,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>MAAJICAL SPORT BAG</h4>,ONE SIZE,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Sport reversible bag with pockets, on solid color side and on printed side, removable snaps</p>",MAAJICAL SPORT BAG,"Sport reversible bag with pockets, on solid color side and on printed side, removable snaps",,,,,,SPRING 2018,COLOMBIA,SPORTS BAG 100% POLYESTER WOVEN,GREEN,ACCESORIES,MAAJICAL SPORT BAG,WOMEN,active,2018,42.02.92.00.00,https://res.cloudinary.com/maaji/image/upload/v1519911260/Spring2018/1260XVR01_gray_9.jpg,1260XVR01_gray_9,yes,https://res.cloudinary.com/maaji/image/upload/v1519742169/Spring2018/1260XVR01_gray_10.jpg,1260XVR01_gray_10,,,,,,,,,,,gray,7702781012625,ONE SIZE,85000,COP Price
1228XWK02,Single Level Product Style,1228XWK02,active,Maaji,Colombia,1,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>PALMY CONVERTIBLE WEEKENDER BAG</h4>,ONE SIZE,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Duffle bag with zipper to convert it, with two pockets</p>",PALMY CONVERTIBLE WEEKENDER BAG,"Duffle bag with zipper to convert it, with two pockets",,,,,,SPRING 2018,COLOMBIA,WOMENS BAG 100% POLYESTER WOVEN,BLUE,ACCESORIES,PALMY CONVERTIBLE WEEKENDER BAG,WOMEN,active,2018,42.02.92.00.00,https://res.cloudinary.com/maaji/image/upload/v1519742775/Spring2018/1228XWK02_blue_9.jpg,1228XWK02_blue_9,yes,https://res.cloudinary.com/maaji/image/upload/v1519742773/Spring2018/1228XWK02_blue_10.jpg,1228XWK02_blue_10,,,,,,,,,,,blue,7702781007607,ONE SIZE,221000,COP Price
1218XTW02,Single Level Product Style,1218XTW02,active,Maaji,Colombia,1,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>PALMY GYM TOWEL</h4>,ONE SIZE,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Rectangular duplex towell with elastic band to envelope</p>,PALMY GYM TOWEL,Rectangular duplex towell with elastic band to envelope,,,,,,SPRING 2018,COLOMBIA,GYM TOWEL 100% POLYESTER WOVEN,BLUE,ACCESORIES,PALMY GYM TOWEL,WOMEN,active,2018,63.02.93.00.00,https://res.cloudinary.com/maaji/image/upload/v1519743295/Spring2018/1218XTW02_blue_9.jpg,1218XWT02_blue_9,yes,,,,,,,,,,,,,blue,7702781007997,ONE SIZE,80000,COP Price
1219XPK02,Single Level Product Style,1219XPK02,active,Maaji,Colombia,1,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>PALMY DOPP KIT</h4>,ONE SIZE,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Shoe or cosmetic travel pocket with side strap to keep it and outside pocket to save little stuff</p>,PALMY DOPP KIT,Shoe or cosmetic travel pocket with side strap to keep it and outside pocket to save little stuff,,,,,,SPRING 2018,COLOMBIA,WOMENS SHOE POCKET 81% POLYESTER 12% NYLON 7% SPANDEX WOVEN,BLUE,ACCESORIES,PALMY DOPP KIT,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1519743771/Spring2018/1219XPK02_blue_9.jpg,1219XPK_blue_9,yes,,,,,,,,,,,,,blue,7702781007584,ONE SIZE,47000,COP Price
1223XPK02,Single Level Product Style,1223XPK02,active,Maaji,Colombia,1,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>BUCKET COSMETIC BAG</h4>,ONE SIZE,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Travel organizer with capacity to keep personal cleanliness, drawstring to close it and strap to hold it</p>",BUCKET COSMETIC BAG,"Travel organizer with capacity to keep personal cleanliness, drawstring to close it and strap to hold it",,,,,,SPRING 2018,COLOMBIA,WOMENS ORGANIZER 86% POLYESTER 14% SPANDEX WOVEN,ASSORTED,ACCESORIES,BUCKET COSMETIC BAG,WOMEN,active,2018,42.02.12.10.00,https://res.cloudinary.com/maaji/image/upload/v1519744371/Spring2018/1223XPK02_assorted_9.jpg,1223XPK02_assorted_9,yes,,,,,,,,,,,,,assorted,7702781007614,ONE SIZE,47000,COP Price
1225XHA02,Single Level Product Style,1225XHA02,active,Maaji,Colombia,1,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>TURBAN</h4>,ONE SIZE,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Width turban with braids</p>,TURBAN,Width turban with braids,,,,,,SPRING 2018,COLOMBIA,WOMENS TURBAN 86% POLYESTER 14% SPANDEX KNIT,ASSORTED,ACCESORIES,TURBAN,WOMEN,active,2018,61.17.80.90.00,https://res.cloudinary.com/maaji/image/upload/v1519744701/Spring2018/1225XHA02_assorted_9.jpg,1225XHA02_assorted_9,yes,,,,,,,,,,,,,assorted,7702781009731,ONE SIZE,30000,COP Price
1216XHA02,Single Level Product Style,1216XHA02,active,Maaji,Colombia,1,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SKINNY HEADBANDS</h4>,ONE SIZE,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Two headbands kit</p>,SKINNY HEADBANDS,Two headbands kit,,,,,,SPRING 2018,COLOMBIA,WOMENS HEADBANDS 86% POLYESTER 14% SPANDEX KNIT,ASSORTED,ACCESORIES,SKINNY HEADBANDS,WOMEN,active,2018,61.17.80.90.00,https://res.cloudinary.com/maaji/image/upload/v1519745330/Spring2018/1216XHA02_assorted_9.jpg,1216XHA02_assorted_9,yes,,,,,,,,,,,,,assorted,7702781007782,ONE SIZE,25000,COP Price
1466CPR01,Single Level Product Style,1466CPR01,active,Maaji,Colombia,1,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>TRUMPETFISH</h4>,ONE SIZE,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Squeare pareos <br/>Stitch detail at hem</p>,TRUMPETFISH ,"Squeare pareos. 
Stitch detail at hem",,,,,,SPRING 2018,COLOMBIA,BEACH TIE ON 100% COTTON WOVEN,RED,COVER UPS,TRUMPETFISH,WOMEN,active,2018,62.17.10.00.00,https://res.cloudinary.com/maaji/image/upload/v1519912764/Spring2018/1466CPR01_red_1.jpg,1466CPR01_red_1,yes,https://res.cloudinary.com/maaji/image/upload/v1519912760/Spring2018/1466CPR01_red_3.jpg,1466CPR01_red_3,,https://res.cloudinary.com/maaji/image/upload/v1519912769/Spring2018/1466CPR01_red_5.jpg,1466CPR01_red_5,,https://res.cloudinary.com/maaji/image/upload/v1519912763/Spring2018/1466CPR01_red_7.jpg,1466CPR01_red_7,,,,,red,7702781001520,ONE SIZE,147000,COP Price
1390CKI01,Single Level Product Style,1390CKI01,active,Maaji,Colombia,1,1,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.","<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SEA STARS</h4>,ONE SIZE,<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Kimono<br/>Middle sleeve</p>,SEA STARS,"Kimono.
Middle sleeve",,,,,,SPRING 2018,COLOMBIA,WOMENS KIMONO 100% NYLON KNIT,BLACK,COVER UPS,SEA STARS,WOMEN,active,2018,61.14.30.00.00,https://res.cloudinary.com/maaji/image/upload/v1519914036/Spring2018/1390CKI01_purple_3.jpg,1390CKI01_purple_3,yes,https://res.cloudinary.com/maaji/image/upload/v1519914036/Spring2018/1390CKI01_purple_4.jpg,1390CKI01_purple_4,,,,,,,,,,,purple,7702781007232,ONE SIZE,170000,COP Price
