lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.keywords.string,attribute.page_url.string,attribute.size_fit.text,attribute.tax_class.string,attribute.short_description.html,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
1539csd01,3 Level Product Style,1539CSD01,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee. Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>FARRAHS PARTY</h4>,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Short Dress<br/>Sleeveless<br/>Elastic below the cups and back<br/>Adjustable Straps</p>,FARRAHS PARTY,"Short Dress
Sleeveless
Elastic Below The Cups  And Back 
Adjustable Straps",,,Our model wears a Colombian size S,,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,,<h4>FARRAHS PARTY</h4>,,active,2018,61.04.43.00.00,1539csd01_anaranjado
1540cct01,3 Level Product Style,1540CCT01,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee. Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>TOTALLY TUBULAR</h4>,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Scarf crop top<br/>Sleveeless<br/>Front knot detail<br/>Smocked at back<br/>Multiways</p>,TOTALLY TUBULAR,"Scarf crop top
Sleveeless
Front knot detail.
Smocked at back
Multiways  ",,,Our model wears a Colombian size S,,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,,<h4>TOTALLY TUBULAR</h4>,,active,2018,62.04.44.00.00,1540cct01_anaranjado
1541cpa01,3 Level Product Style,1541CPA01,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee. Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>FLOWER POWER</h4>,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>In knit crepe these slouchy lounge pants featuring statement slit detailing in front<br/>Tassel detail on strings</p>,FLOWER POWER,"In knit crepe these slouchy lounge pants featuring statement slit detailing in front.
Tassale dateil on sttrings",,,Our model wears a Colombian size S,,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,,<h4>FLOWER POWER</h4>,,active,2018,61.04.63.00.00,1541cpa01_anaranjado
1542cct01,3 Level Product Style,1542CCT01,active,Maaji,1,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee. Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>NOW AND LATER</h4>,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Crop top<br/>Back lace-up tie closure<br/>2 ways</p>,NOW AND LATER,"Crop top
Back lace-up tie clousure
2 ways",,,Our model wears a Colombian size S,,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,,<h4>NOW AND LATER</h4>,,active,2018,61.14.30.00.00,1542cct01_azul
1543csh01,3 Level Product Style,1543CSH01,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee. Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>FANTASY ISLAND</h4>,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Palazzo short<br/>Elastic waistband</p>,FANTASY ISLAND,"Palazzo short 
Elastic Waistband",,,Our model wears a Colombian size S,,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,,<h4>FANTASY ISLAND</h4>,,active,2018,61.04.63.00.00,1543csh01_azul
1544csd01,3 Level Product Style,1544CSD01,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee. Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>GET REAL</h4>,<p>Do not machine wash at high temperatures<br/>Do not dry clean<br/>Do not wring<br/>Wash upside down<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>,<p>Short Dress<br/>Round Neckline<br/>Sleeveless<br/>Adjustable Straps</p>,GET REAL,"Short Dress
Round Neckline
Sleeveless
Adjustable Straps ",,,Our model wears a Colombian size S,,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,,<h4>GET REAL</h4>,,active,2018,62.04.44.00.00,1544csd01_azul
2135ssf04,3 Level Product Style,2135SSF04,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee. Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>BOOGIE WAVES</h4>,<p>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>,<p>Wide waistband<br/>Dolphin Cut <br/>Made in Colombia</p>,BOOGIE WAVES,"Wide waistband
Dolphin Cut 
Made in Colombia",,,Our model wears a Colombian size S,,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,,<h4>BOOGIE WAVES</h4>,,active,2018,61.04.63.00.00,2135ssf04_azul
2161sfa03,3 Level Product Style,2161SFA03,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee. Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>BREAKFAST CLUB</h4>,<p>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Removable soft pads<br/>Bralette Top<br/>Adjustable back with lace up tie<br/>Full coverage at front<br/>Made in Colombia</p>,BREAKFAST CLUB,"Reversible
Removable soft pads
Bralette Top
Adjustable back with lace up tie
Full coverage at front
Made in Colombia",,,Our model wears a Colombian size S,,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,,<h4>BREAKFAST CLUB</h4>,,active,2018,61.12.41.00.00,2161sfa03_cafe
2171sfh02,3 Level Product Style,2171SFH02,active,Maaji,0,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee. Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>LIKE TOTALLY</h4>,<p>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>,<p>Reversible<br/>4 ways top (wear it to back and front)<br/>Halter top<br/>Lace up with tie strings<br/>Removable soft pads<br/>Full coverage at front<br/>Made in Colombia</p>,LIKE TOTALLY,"Reversible
4 ways top (wear it to back and front)
Halter top
Lace up with tie strings
Removable Soft Pads
Full coverage at front
Made in Colombia",,,Our model wears a Colombian size S,,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,,<h4>LIKE TOTALLY</h4>,,active,2018,61.12.41.00.00,2171sfh02_amarillo
2178sun02,3 Level Product Style,2178SUN02,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee. Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SONNY AND CHER</h4>,<p>Cold hand wash<br/>Always rinse to remove salt or chlorine<br/>Dry in the shade<br/>Dry flat<br/>Avoid rough surfaces</p>,<p>Underwire top<br/>With molded cups<br/>Adjustable at shoulders and back<br/>Full coverage at front<br/>Made in Colombia</p>,SONNY AND CHER,"Underwire top
With molded cups
Adjustable at shoulders and back
Full coverage at front
Made in Colombia",,,Our model wears a Colombian size S,,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,,<h4>SONNY AND CHER</h4>,,active,2018,61.12.41.00.00,2178sun02_amarillo
